#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
      0      2.66e+01      6.78e-01      8.42e-01    1.0e-03
    100      3.03e+00      7.79e-01      9.55e-02    1.0e-03
    200      2.29e+00      6.15e-01      7.20e-02    1.0e-03
    300      4.27e+00      2.22e-01      1.35e-01    1.0e-03
    400      4.34e+00      6.13e-02      1.37e-01    1.0e-03
    500      2.23e+00      1.07e-01      7.04e-02    1.0e-03
    600      2.00e+00      7.38e-02      6.33e-02    1.0e-03
    700      2.27e+00      5.02e-02      7.16e-02    1.0e-03
    800      1.79e+00      3.07e-02      5.67e-02    1.0e-03
    900      2.19e+00      1.39e-02      6.92e-02    1.0e-03
   1000      2.32e+00      5.09e-02      7.32e-02    1.0e-03
   1100      2.71e+00      3.11e-02      8.56e-02    1.0e-03
   1200      2.61e+00      3.15e-02      8.25e-02    1.0e-03
   1300      3.67e+00      4.84e-02      1.16e-01    1.0e-03
   1400      2.09e+00      4.12e-02      6.60e-02    1.0e-03
   1500      2.27e+00      3.18e-02      7.16e-02    1.0e-03
   1600      2.54e+00      6.37e-02      8.03e-02    1.0e-03
   1700      1.96e+00      6.35e-02      6.20e-02    1.0e-03
   1800      2.04e+00      2.53e-02      6.46e-02    1.0e-03
   1900      2.09e+00      4.74e-02      6.61e-02    1.0e-03
   2000      2.17e+00      2.89e-02      6.85e-02    1.0e-03
   2100      2.81e+00      4.75e-02      8.89e-02    1.0e-03
   2200      1.84e+00      3.23e-02      5.82e-02    1.0e-03
   2300      2.16e+00      1.10e-01      6.83e-02    1.0e-03
   2400      2.45e+00      3.23e-02      7.75e-02    1.0e-03
   2500      2.12e+00      6.84e-02      6.71e-02    1.0e-03
   2600      1.95e+00      8.28e-02      6.15e-02    1.0e-03
   2700      1.82e+00      3.86e-02      5.76e-02    1.0e-03
   2800      3.61e+00      9.07e-02      1.14e-01    1.0e-03
   2900      2.40e+00      9.01e-02      7.60e-02    1.0e-03
   3000      1.61e+00      3.27e-02      5.09e-02    1.0e-03
   3100      2.33e+00      2.02e-02      7.38e-02    1.0e-03
   3200      2.08e+00      3.84e-02      6.58e-02    1.0e-03
   3300      2.06e+00      6.55e-02      6.52e-02    1.0e-03
   3400      2.40e+00      4.51e-02      7.57e-02    1.0e-03
   3500      2.18e+00      2.62e-02      6.91e-02    1.0e-03
   3600      2.26e+00      2.07e-02      7.15e-02    1.0e-03
   3700      1.73e+00      3.45e-02      5.46e-02    1.0e-03
   3800      2.07e+00      1.78e-02      6.55e-02    1.0e-03
   3900      1.89e+00      3.75e-02      5.97e-02    1.0e-03
   4000      1.70e+00      2.71e-02      5.37e-02    1.0e-03
   4100      2.40e+00      5.06e-02      7.57e-02    1.0e-03
   4200      2.82e+00      4.02e-02      8.91e-02    1.0e-03
   4300      2.45e+00      5.77e-02      7.73e-02    1.0e-03
   4400      1.51e+00      1.58e-02      4.76e-02    1.0e-03
   4500      1.91e+00      2.62e-02      6.05e-02    1.0e-03
   4600      2.27e+00      1.36e-02      7.17e-02    1.0e-03
   4700      2.51e+00      1.42e-02      7.93e-02    1.0e-03
   4800      2.34e+00      2.09e-02      7.41e-02    1.0e-03
   4900      1.79e+00      1.28e-02      5.66e-02    1.0e-03
   5000      2.49e+00      3.44e-02      8.08e-02    9.5e-04
   5100      2.72e+00      3.44e-02      8.83e-02    9.5e-04
   5200      1.81e+00      4.48e-02      5.87e-02    9.5e-04
   5300      2.34e+00      3.62e-02      7.59e-02    9.5e-04
   5400      2.25e+00      3.91e-02      7.29e-02    9.5e-04
   5500      1.83e+00      5.30e-02      5.93e-02    9.5e-04
   5600      1.76e+00      4.07e-02      5.71e-02    9.5e-04
   5700      2.40e+00      3.86e-02      7.80e-02    9.5e-04
   5800      2.50e+00      3.69e-02      8.12e-02    9.5e-04
   5900      1.54e+00      1.54e-02      5.00e-02    9.5e-04
   6000      1.15e+00      6.55e-02      3.72e-02    9.5e-04
   6100      1.57e+00      2.70e-02      5.11e-02    9.5e-04
   6200      1.73e+00      4.88e-02      5.62e-02    9.5e-04
   6300      2.07e+00      2.00e-02      6.72e-02    9.5e-04
   6400      1.74e+00      1.69e-02      5.66e-02    9.5e-04
   6500      2.07e+00      2.15e-02      6.70e-02    9.5e-04
   6600      2.30e+00      2.91e-02      7.46e-02    9.5e-04
   6700      1.67e+00      3.53e-02      5.42e-02    9.5e-04
   6800      1.40e+00      4.34e-02      4.54e-02    9.5e-04
   6900      2.71e+00      7.33e-02      8.80e-02    9.5e-04
   7000      1.92e+00      2.98e-02      6.24e-02    9.5e-04
   7100      1.97e+00      4.34e-02      6.40e-02    9.5e-04
   7200      2.49e+00      1.56e-02      8.09e-02    9.5e-04
