#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
      0      2.90e+01      2.27e+00      9.17e-01    1.0e-03
    100      4.16e+00      1.73e+00      1.30e-01    1.0e-03
    200      2.55e+00      1.04e+00      7.98e-02    1.0e-03
    300      2.65e+00      6.42e-01      8.34e-02    1.0e-03
    400      2.66e+00      2.76e-01      8.39e-02    1.0e-03
    500      2.90e+00      1.03e-01      9.16e-02    1.0e-03
    600      3.18e+00      4.85e-02      1.01e-01    1.0e-03
    700      2.95e+00      5.22e-02      9.33e-02    1.0e-03
    800      2.95e+00      5.52e-02      9.32e-02    1.0e-03
    900      2.40e+00      4.81e-02      7.59e-02    1.0e-03
   1000      2.62e+00      8.51e-02      8.27e-02    1.0e-03
   1100      2.17e+00      3.89e-02      6.87e-02    1.0e-03
   1200      2.71e+00      4.42e-02      8.58e-02    1.0e-03
   1300      2.29e+00      3.20e-02      7.25e-02    1.0e-03
   1400      2.05e+00      3.57e-02      6.48e-02    1.0e-03
   1500      2.47e+00      4.87e-02      7.81e-02    1.0e-03
   1600      2.14e+00      5.51e-02      6.78e-02    1.0e-03
   1700      2.36e+00      1.31e-01      7.45e-02    1.0e-03
   1800      2.34e+00      6.10e-02      7.41e-02    1.0e-03
   1900      2.15e+00      4.60e-02      6.81e-02    1.0e-03
   2000      2.48e+00      3.25e-02      7.85e-02    1.0e-03
   2100      1.99e+00      3.39e-02      6.29e-02    1.0e-03
   2200      2.25e+00      6.66e-02      7.11e-02    1.0e-03
   2300      2.27e+00      2.59e-02      7.18e-02    1.0e-03
   2400      2.40e+00      3.44e-02      7.60e-02    1.0e-03
   2500      2.01e+00      2.47e-02      6.34e-02    1.0e-03
   2600      2.53e+00      2.11e-02      8.02e-02    1.0e-03
   2700      2.06e+00      3.19e-02      6.52e-02    1.0e-03
   2800      2.79e+00      5.68e-02      8.82e-02    1.0e-03
   2900      2.02e+00      2.43e-02      6.37e-02    1.0e-03
   3000      1.40e+00      3.92e-02      4.41e-02    1.0e-03
   3100      2.14e+00      3.50e-02      6.78e-02    1.0e-03
   3200      2.28e+00      8.29e-02      7.20e-02    1.0e-03
   3300      2.67e+00      3.00e-02      8.45e-02    1.0e-03
   3400      2.26e+00      6.84e-02      7.16e-02    1.0e-03
   3500      2.35e+00      1.48e-02      7.42e-02    1.0e-03
   3600      2.38e+00      3.97e-02      7.53e-02    1.0e-03
   3700      2.17e+00      3.08e-02      6.86e-02    1.0e-03
   3800      2.37e+00      9.34e-03      7.48e-02    1.0e-03
   3900      1.93e+00      3.57e-02      6.09e-02    1.0e-03
