#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
      0      5.20e+00      2.02e-01      1.64e-01    1.0e-03
    100      4.20e+00      3.14e-01      1.33e-01    1.0e-03
    200      3.53e+00      1.42e-01      1.12e-01    1.0e-03
    300      4.44e+00      2.18e-01      1.40e-01    1.0e-03
    400      3.33e+00      8.65e-02      1.05e-01    1.0e-03
    500      3.01e+00      6.64e-02      9.53e-02    1.0e-03
    600      3.27e+00      9.30e-02      1.04e-01    1.0e-03
    700      2.69e+00      4.99e-02      8.51e-02    1.0e-03
    800      2.31e+00      7.16e-02      7.30e-02    1.0e-03
    900      2.79e+00      1.81e-02      8.84e-02    1.0e-03
   1000      3.08e+00      4.06e-02      9.74e-02    1.0e-03
   1100      2.61e+00      3.38e-02      8.25e-02    1.0e-03
   1200      2.26e+00      4.30e-02      7.14e-02    1.0e-03
   1300      2.18e+00      3.11e-02      6.91e-02    1.0e-03
   1400      2.25e+00      9.65e-02      7.10e-02    1.0e-03
   1500      2.14e+00      4.35e-02      6.77e-02    1.0e-03
   1600      2.79e+00      5.61e-02      8.84e-02    1.0e-03
   1700      2.45e+00      5.18e-02      7.73e-02    1.0e-03
   1800      2.65e+00      2.76e-02      8.39e-02    1.0e-03
   1900      2.43e+00      7.64e-02      7.68e-02    1.0e-03
   2000      2.61e+00      3.68e-02      8.24e-02    1.0e-03
   2100      2.76e+00      5.37e-02      8.71e-02    1.0e-03
   2200      2.61e+00      5.88e-02      8.24e-02    1.0e-03
   2300      2.09e+00      3.70e-02      6.60e-02    1.0e-03
   2400      2.55e+00      3.70e-02      8.08e-02    1.0e-03
   2500      2.49e+00      2.92e-02      7.87e-02    1.0e-03
   2600      2.63e+00      3.08e-02      8.31e-02    1.0e-03
   2700      3.21e+00      4.10e-02      1.01e-01    1.0e-03
   2800      2.14e+00      2.05e-02      6.77e-02    1.0e-03
   2900      2.50e+00      3.47e-02      7.90e-02    1.0e-03
   3000      2.00e+00      4.58e-02      6.32e-02    1.0e-03
   3100      1.78e+00      2.44e-02      5.61e-02    1.0e-03
   3200      2.15e+00      2.93e-02      6.80e-02    1.0e-03
   3300      2.49e+00      4.10e-02      7.89e-02    1.0e-03
   3400      2.62e+00      6.66e-02      8.27e-02    1.0e-03
   3500      2.27e+00      4.23e-02      7.18e-02    1.0e-03
   3600      2.45e+00      3.51e-02      7.73e-02    1.0e-03
   3700      2.95e+00      4.07e-02      9.33e-02    1.0e-03
   3800      2.25e+00      2.69e-02      7.13e-02    1.0e-03
   3900      2.84e+00      3.04e-02      8.98e-02    1.0e-03
   4000      2.46e+00      4.87e-02      7.79e-02    1.0e-03
   4100      1.96e+00      4.55e-02      6.19e-02    1.0e-03
   4200      2.11e+00      4.26e-02      6.67e-02    1.0e-03
   4300      1.96e+00      4.30e-02      6.21e-02    1.0e-03
   4400      2.98e+00      5.45e-02      9.44e-02    1.0e-03
   4500      3.15e+00      6.01e-02      9.98e-02    1.0e-03
   4600      2.15e+00      6.40e-02      6.79e-02    1.0e-03
   4700      2.59e+00      6.52e-02      8.19e-02    1.0e-03
   4800      2.69e+00      3.17e-02      8.49e-02    1.0e-03
   4900      2.44e+00      5.21e-02      7.73e-02    1.0e-03
   5000      2.20e+00      2.10e-02      7.13e-02    9.5e-04
   5100      2.69e+00      2.81e-02      8.73e-02    9.5e-04
   5200      1.93e+00      2.76e-02      6.27e-02    9.5e-04
   5300      2.02e+00      3.59e-02      6.56e-02    9.5e-04
   5400      1.90e+00      3.25e-02      6.16e-02    9.5e-04
   5500      1.90e+00      2.16e-02      6.17e-02    9.5e-04
   5600      2.03e+00      2.70e-02      6.58e-02    9.5e-04
   5700      2.19e+00      5.06e-02      7.12e-02    9.5e-04
   5800      2.57e+00      3.60e-02      8.35e-02    9.5e-04
   5900      2.19e+00      2.90e-02      7.11e-02    9.5e-04
   6000      2.19e+00      2.75e-02      7.09e-02    9.5e-04
   6100      2.33e+00      5.84e-02      7.55e-02    9.5e-04
   6200      2.29e+00      3.48e-02      7.42e-02    9.5e-04
   6300      1.86e+00      1.89e-02      6.05e-02    9.5e-04
   6400      1.82e+00      3.69e-02      5.89e-02    9.5e-04
   6500      2.29e+00      2.24e-02      7.44e-02    9.5e-04
   6600      1.72e+00      2.01e-02      5.57e-02    9.5e-04
   6700      1.95e+00      4.12e-02      6.31e-02    9.5e-04
   6800      1.71e+00      2.26e-02      5.55e-02    9.5e-04
   6900      1.97e+00      2.85e-02      6.38e-02    9.5e-04
   7000      1.63e+00      1.69e-02      5.28e-02    9.5e-04
   7100      2.23e+00      3.25e-02      7.23e-02    9.5e-04
   7200      2.81e+00      6.04e-02      9.13e-02    9.5e-04
   7300      1.65e+00      1.05e-02      5.36e-02    9.5e-04
   7400      2.44e+00      1.74e-02      7.91e-02    9.5e-04
   7500      1.98e+00      3.75e-02      6.42e-02    9.5e-04
   7600      1.98e+00      4.31e-02      6.43e-02    9.5e-04
   7700      2.24e+00      3.43e-02      7.25e-02    9.5e-04
   7800      1.93e+00      2.33e-02      6.25e-02    9.5e-04
   7900      1.43e+00      2.14e-02      4.64e-02    9.5e-04
   8000      2.09e+00      4.40e-02      6.78e-02    9.5e-04
   8100      2.39e+00      1.55e-02      7.75e-02    9.5e-04
   8200      2.14e+00      2.40e-02      6.93e-02    9.5e-04
   8300      2.17e+00      2.66e-02      7.05e-02    9.5e-04
   8400      2.00e+00      3.59e-02      6.49e-02    9.5e-04
   8500      2.27e+00      4.26e-02      7.38e-02    9.5e-04
   8600      2.33e+00      1.52e-02      7.56e-02    9.5e-04
   8700      1.66e+00      3.38e-02      5.37e-02    9.5e-04
   8800      1.88e+00      5.46e-02      6.09e-02    9.5e-04
   8900      2.14e+00      2.97e-02      6.96e-02    9.5e-04
   9000      2.50e+00      3.95e-02      8.12e-02    9.5e-04
   9100      2.25e+00      2.25e-02      7.29e-02    9.5e-04
   9200      1.85e+00      3.17e-02      6.00e-02    9.5e-04
   9300      2.32e+00      1.23e-02      7.52e-02    9.5e-04
   9400      2.78e+00      2.12e-02      9.01e-02    9.5e-04
   9500      2.16e+00      1.47e-02      7.00e-02    9.5e-04
   9600      2.48e+00      3.18e-02      8.05e-02    9.5e-04
   9700      1.81e+00      3.27e-02      5.87e-02    9.5e-04
   9800      2.09e+00      6.01e-02      6.79e-02    9.5e-04
   9900      2.57e+00      2.49e-02      8.36e-02    9.5e-04
  10000      1.43e+00      2.43e-02      4.78e-02    9.0e-04
  10100      1.82e+00      2.82e-02      6.06e-02    9.0e-04
  10200      2.23e+00      4.27e-02      7.42e-02    9.0e-04
  10300      2.16e+00      1.92e-02      7.20e-02    9.0e-04
  10400      2.02e+00      2.29e-02      6.71e-02    9.0e-04
  10500      1.98e+00      1.46e-02      6.60e-02    9.0e-04
  10600      1.77e+00      4.41e-02      5.91e-02    9.0e-04
  10700      1.98e+00      3.14e-02      6.60e-02    9.0e-04
  10800      1.73e+00      1.31e-02      5.78e-02    9.0e-04
  10900      2.39e+00      3.10e-02      7.97e-02    9.0e-04
  11000      3.24e+00      1.88e-01      1.08e-01    9.0e-04
  11100      1.67e+00      3.10e-02      5.56e-02    9.0e-04
  11200      1.83e+00      2.88e-02      6.11e-02    9.0e-04
  11300      2.06e+00      2.12e-02      6.85e-02    9.0e-04
  11400      2.18e+00      3.07e-02      7.26e-02    9.0e-04
  11500      1.51e+00      1.20e-02      5.04e-02    9.0e-04
  11600      2.15e+00      2.61e-02      7.18e-02    9.0e-04
  11700      1.72e+00      2.30e-02      5.74e-02    9.0e-04
  11800      2.31e+00      2.67e-02      7.68e-02    9.0e-04
  11900      1.98e+00      2.50e-02      6.60e-02    9.0e-04
  12000      1.29e+00      8.13e-03      4.29e-02    9.0e-04
  12100      2.39e+00      4.38e-02      7.96e-02    9.0e-04
  12200      1.65e+00      1.95e-02      5.51e-02    9.0e-04
  12300      1.54e+00      1.52e-02      5.13e-02    9.0e-04
  12400      2.14e+00      8.63e-02      7.12e-02    9.0e-04
  12500      1.79e+00      5.78e-02      5.96e-02    9.0e-04
  12600      1.76e+00      2.81e-02      5.88e-02    9.0e-04
  12700      1.80e+00      1.96e-02      6.00e-02    9.0e-04
  12800      1.37e+00      5.94e-02      4.55e-02    9.0e-04
  12900      1.89e+00      1.30e-02      6.28e-02    9.0e-04
  13000      2.09e+00      3.28e-02      6.96e-02    9.0e-04
  13100      1.88e+00      1.93e-02      6.27e-02    9.0e-04
  13200      1.58e+00      1.37e-02      5.26e-02    9.0e-04
  13300      1.23e+00      7.17e-02      4.08e-02    9.0e-04
  13400      1.60e+00      1.24e-02      5.31e-02    9.0e-04
  13500      1.05e+00      6.45e-02      3.49e-02    9.0e-04
  13600      2.06e+00      2.17e-02      6.85e-02    9.0e-04
  13700      1.72e+00      2.35e-02      5.74e-02    9.0e-04
  13800      1.61e+00      4.02e-02      5.35e-02    9.0e-04
  13900      1.76e+00      5.37e-02      5.86e-02    9.0e-04
  14000      1.79e+00      2.93e-02      5.96e-02    9.0e-04
  14100      1.79e+00      3.25e-02      5.95e-02    9.0e-04
  14200      1.84e+00      7.27e-03      6.11e-02    9.0e-04
  14300      2.09e+00      4.83e-02      6.97e-02    9.0e-04
  14400      2.16e+00      2.58e-02      7.18e-02    9.0e-04
  14500      1.32e+00      2.84e-02      4.40e-02    9.0e-04
  14600      1.87e+00      2.60e-02      6.22e-02    9.0e-04
  14700      1.27e+00      2.79e-02      4.24e-02    9.0e-04
  14800      1.86e+00      4.39e-02      6.19e-02    9.0e-04
  14900      1.97e+00      5.46e-02      6.56e-02    9.0e-04
  15000      1.60e+00      5.10e-02      5.47e-02    8.6e-04
  15100      1.89e+00      3.55e-02      6.45e-02    8.6e-04
  15200      1.38e+00      3.19e-02      4.73e-02    8.6e-04
  15300      2.00e+00      1.57e-02      6.82e-02    8.6e-04
  15400      1.83e+00      2.07e-02      6.25e-02    8.6e-04
  15500      2.62e+00      3.39e-02      8.97e-02    8.6e-04
  15600      2.04e+00      3.95e-02      6.97e-02    8.6e-04
  15700      1.56e+00      6.78e-02      5.33e-02    8.6e-04
  15800      1.76e+00      5.80e-02      6.00e-02    8.6e-04
  15900      2.00e+00      3.95e-02      6.83e-02    8.6e-04
  16000      2.39e+00      4.94e-02      8.16e-02    8.6e-04
  16100      1.97e+00      2.87e-02      6.74e-02    8.6e-04
  16200      1.74e+00      3.78e-02      5.95e-02    8.6e-04
  16300      1.82e+00      1.83e-02      6.21e-02    8.6e-04
  16400      1.66e+00      2.42e-02      5.66e-02    8.6e-04
  16500      1.58e+00      2.26e-02      5.39e-02    8.6e-04
  16600      1.76e+00      3.31e-02      6.01e-02    8.6e-04
  16700      1.26e+00      5.26e-02      4.29e-02    8.6e-04
  16800      1.76e+00      2.48e-02      6.02e-02    8.6e-04
  16900      2.08e+00      1.91e-02      7.10e-02    8.6e-04
  17000      2.17e+00      6.17e-02      7.43e-02    8.6e-04
  17100      1.43e+00      5.52e-02      4.88e-02    8.6e-04
  17200      1.89e+00      1.00e-01      6.46e-02    8.6e-04
  17300      2.05e+00      1.79e-02      7.02e-02    8.6e-04
  17400      1.85e+00      5.96e-02      6.32e-02    8.6e-04
  17500      1.38e+00      5.95e-02      4.70e-02    8.6e-04
  17600      1.83e+00      5.57e-02      6.24e-02    8.6e-04
  17700      1.33e+00      9.78e-03      4.54e-02    8.6e-04
  17800      2.03e+00      1.77e-02      6.95e-02    8.6e-04
  17900      1.89e+00      3.02e-02      6.44e-02    8.6e-04
  18000      1.84e+00      2.42e-02      6.28e-02    8.6e-04
  18100      1.61e+00      4.17e-02      5.50e-02    8.6e-04
  18200      1.73e+00      1.64e-02      5.90e-02    8.6e-04
  18300      2.13e+00      3.15e-02      7.27e-02    8.6e-04
  18400      1.51e+00      2.92e-02      5.16e-02    8.6e-04
  18500      2.05e+00      2.77e-02      7.02e-02    8.6e-04
  18600      2.21e+00      2.43e-02      7.54e-02    8.6e-04
  18700      1.66e+00      2.71e-02      5.66e-02    8.6e-04
  18800      2.29e+00      4.86e-02      7.84e-02    8.6e-04
  18900      2.22e+00      2.20e-02      7.58e-02    8.6e-04
  19000      1.81e+00      6.02e-02      6.19e-02    8.6e-04
  19100      2.20e+00      7.99e-02      7.51e-02    8.6e-04
  19200      1.63e+00      3.76e-02      5.57e-02    8.6e-04
  19300      2.16e+00      4.61e-02      7.38e-02    8.6e-04
  19400      1.72e+00      8.85e-03      5.87e-02    8.6e-04
  19500      1.89e+00      2.77e-02      6.45e-02    8.6e-04
  19600      1.81e+00      2.10e-02      6.19e-02    8.6e-04
  19700      1.82e+00      2.52e-02      6.22e-02    8.6e-04
  19800      1.50e+00      2.28e-02      5.14e-02    8.6e-04
  19900      1.73e+00      2.27e-02      5.93e-02    8.6e-04
  20000      1.46e+00      2.53e-02      5.12e-02    8.1e-04
  20100      1.66e+00      2.57e-02      5.82e-02    8.1e-04
  20200      1.69e+00      2.00e-02      5.93e-02    8.1e-04
  20300      1.53e+00      2.24e-02      5.36e-02    8.1e-04
  20400      1.65e+00      2.28e-02      5.79e-02    8.1e-04
  20500      1.80e+00      3.02e-02      6.30e-02    8.1e-04
  20600      1.34e+00      8.46e-03      4.71e-02    8.1e-04
  20700      1.40e+00      2.47e-02      4.92e-02    8.1e-04
  20800      1.45e+00      6.49e-03      5.09e-02    8.1e-04
  20900      1.52e+00      1.74e-02      5.33e-02    8.1e-04
  21000      1.95e+00      5.92e-02      6.85e-02    8.1e-04
  21100      1.40e+00      7.04e-03      4.91e-02    8.1e-04
  21200      1.75e+00      2.46e-02      6.14e-02    8.1e-04
  21300      2.44e+00      1.85e-02      8.57e-02    8.1e-04
  21400      1.80e+00      3.50e-02      6.32e-02    8.1e-04
  21500      2.07e+00      2.71e-02      7.26e-02    8.1e-04
  21600      1.74e+00      1.96e-02      6.10e-02    8.1e-04
  21700      1.57e+00      1.57e-02      5.50e-02    8.1e-04
  21800      1.98e+00      2.23e-02      6.95e-02    8.1e-04
  21900      1.42e+00      2.84e-02      4.98e-02    8.1e-04
  22000      1.81e+00      2.17e-02      6.34e-02    8.1e-04
  22100      1.80e+00      2.26e-02      6.30e-02    8.1e-04
  22200      1.56e+00      4.02e-02      5.46e-02    8.1e-04
  22300      1.99e+00      2.45e-02      6.99e-02    8.1e-04
  22400      1.71e+00      5.38e-02      5.98e-02    8.1e-04
  22500      1.94e+00      3.13e-02      6.81e-02    8.1e-04
  22600      1.96e+00      7.21e-02      6.86e-02    8.1e-04
  22700      1.54e+00      2.49e-02      5.42e-02    8.1e-04
  22800      2.21e+00      1.26e-02      7.75e-02    8.1e-04
  22900      1.62e+00      3.30e-02      5.67e-02    8.1e-04
  23000      1.91e+00      3.08e-02      6.71e-02    8.1e-04
  23100      1.52e+00      1.66e-02      5.35e-02    8.1e-04
  23200      2.11e+00      1.09e-02      7.41e-02    8.1e-04
  23300      1.91e+00      1.37e-02      6.69e-02    8.1e-04
  23400      1.75e+00      1.81e-02      6.13e-02    8.1e-04
  23500      1.43e+00      7.43e-03      5.03e-02    8.1e-04
  23600      2.02e+00      1.32e-02      7.08e-02    8.1e-04
  23700      2.11e+00      2.24e-02      7.42e-02    8.1e-04
  23800      1.63e+00      4.69e-02      5.70e-02    8.1e-04
  23900      1.95e+00      2.20e-02      6.85e-02    8.1e-04
  24000      1.56e+00      1.70e-02      5.47e-02    8.1e-04
  24100      1.45e+00      3.60e-02      5.10e-02    8.1e-04
  24200      1.98e+00      2.67e-02      6.93e-02    8.1e-04
  24300      2.06e+00      9.60e-02      7.22e-02    8.1e-04
  24400      1.44e+00      1.48e-02      5.07e-02    8.1e-04
  24500      2.01e+00      1.65e-01      7.00e-02    8.1e-04
  24600      2.08e+00      3.66e-02      7.29e-02    8.1e-04
  24700      1.21e+00      2.26e-02      4.24e-02    8.1e-04
  24800      1.37e+00      2.06e-02      4.80e-02    8.1e-04
  24900      1.64e+00      1.95e-02      5.77e-02    8.1e-04
  25000      1.69e+00      7.51e-03      6.07e-02    7.7e-04
  25100      1.86e+00      2.11e-02      6.69e-02    7.7e-04
  25200      1.53e+00      2.17e-02      5.49e-02    7.7e-04
  25300      1.61e+00      1.08e-02      5.81e-02    7.7e-04
  25400      1.98e+00      1.30e-02      7.15e-02    7.7e-04
  25500      1.74e+00      1.62e-02      6.26e-02    7.7e-04
  25600      1.97e+00      5.79e-02      7.09e-02    7.7e-04
  25700      1.70e+00      1.39e-02      6.11e-02    7.7e-04
  25800      1.58e+00      1.28e-02      5.70e-02    7.7e-04
  25900      1.80e+00      3.33e-02      6.49e-02    7.7e-04
  26000      1.40e+00      2.33e-02      5.04e-02    7.7e-04
  26100      1.86e+00      1.87e-02      6.68e-02    7.7e-04
  26200      1.63e+00      2.12e-02      5.87e-02    7.7e-04
  26300      1.64e+00      2.70e-02      5.90e-02    7.7e-04
  26400      1.58e+00      2.32e-02      5.69e-02    7.7e-04
  26500      1.91e+00      3.69e-02      6.88e-02    7.7e-04
  26600      1.89e+00      1.34e-02      6.81e-02    7.7e-04
  26700      1.25e+00      4.12e-02      4.51e-02    7.7e-04
  26800      2.08e+00      2.27e-02      7.48e-02    7.7e-04
  26900      1.89e+00      3.51e-02      6.80e-02    7.7e-04
  27000      1.08e+00      2.00e-02      3.88e-02    7.7e-04
  27100      1.70e+00      1.97e-02      6.12e-02    7.7e-04
  27200      1.55e+00      4.46e-02      5.56e-02    7.7e-04
  27300      1.32e+00      2.67e-02      4.76e-02    7.7e-04
  27400      1.95e+00      2.98e-02      7.03e-02    7.7e-04
  27500      1.03e+00      1.92e-02      3.73e-02    7.7e-04
  27600      1.56e+00      3.01e-02      5.63e-02    7.7e-04
  27700      1.13e+00      1.11e-02      4.07e-02    7.7e-04
  27800      1.48e+00      3.68e-02      5.32e-02    7.7e-04
  27900      1.38e+00      1.27e-02      4.99e-02    7.7e-04
  28000      1.49e+00      2.04e-02      5.38e-02    7.7e-04
  28100      1.86e+00      8.98e-02      6.69e-02    7.7e-04
  28200      2.11e+00      2.31e-02      7.59e-02    7.7e-04
  28300      1.81e+00      2.99e-02      6.51e-02    7.7e-04
  28400      1.92e+00      3.27e-02      6.90e-02    7.7e-04
  28500      1.23e+00      1.77e-02      4.44e-02    7.7e-04
  28600      1.72e+00      3.83e-02      6.18e-02    7.7e-04
  28700      1.49e+00      1.37e-02      5.35e-02    7.7e-04
  28800      1.38e+00      4.28e-02      4.96e-02    7.7e-04
  28900      1.71e+00      3.21e-02      6.16e-02    7.7e-04
