#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
      0      1.33e+01      4.10e-01      4.22e-01    1.0e-03
    100      2.92e+00      1.00e-01      9.24e-02    1.0e-03
    200      3.97e+00      1.96e-01      1.26e-01    1.0e-03
    300      2.57e+00      5.36e-02      8.14e-02    1.0e-03
    400      3.08e+00      9.89e-02      9.73e-02    1.0e-03
    500      2.37e+00      3.21e-02      7.50e-02    1.0e-03
    600      2.69e+00      5.25e-02      8.52e-02    1.0e-03
    700      2.45e+00      3.71e-02      7.75e-02    1.0e-03
    800      2.21e+00      6.42e-02      6.98e-02    1.0e-03
    900      2.90e+00      8.31e-02      9.16e-02    1.0e-03
   1000      2.51e+00      4.16e-02      7.95e-02    1.0e-03
   1100      2.20e+00      3.33e-02      6.96e-02    1.0e-03
   1200      2.16e+00      3.21e-02      6.83e-02    1.0e-03
   1300      3.05e+00      3.09e-02      9.64e-02    1.0e-03
   1400      2.58e+00      4.99e-02      8.16e-02    1.0e-03
   1500      1.82e+00      3.92e-02      5.76e-02    1.0e-03
   1600      2.74e+00      4.72e-02      8.66e-02    1.0e-03
   1700      4.05e+00      1.46e-01      1.28e-01    1.0e-03
   1800      2.69e+00      3.82e-02      8.50e-02    1.0e-03
   1900      1.94e+00      1.83e-02      6.14e-02    1.0e-03
   2000      2.13e+00      4.67e-02      6.75e-02    1.0e-03
   2100      2.10e+00      5.60e-02      6.65e-02    1.0e-03
   2200      2.05e+00      2.38e-02      6.49e-02    1.0e-03
   2300      2.16e+00      3.14e-02      6.82e-02    1.0e-03
   2400      1.92e+00      3.27e-02      6.07e-02    1.0e-03
   2500      2.62e+00      2.61e-02      8.30e-02    1.0e-03
   2600      1.46e+00      3.92e-02      4.61e-02    1.0e-03
   2700      2.39e+00      7.53e-02      7.55e-02    1.0e-03
   2800      1.89e+00      4.89e-02      5.98e-02    1.0e-03
   2900      2.13e+00      5.91e-02      6.72e-02    1.0e-03
   3000      2.64e+00      1.62e-02      8.34e-02    1.0e-03
   3100      2.03e+00      2.68e-02      6.41e-02    1.0e-03
   3200      2.32e+00      4.26e-02      7.32e-02    1.0e-03
   3300      2.30e+00      2.21e-02      7.27e-02    1.0e-03
   3400      2.17e+00      5.45e-02      6.87e-02    1.0e-03
   3500      1.34e+00      3.45e-02      4.25e-02    1.0e-03
   3600      1.82e+00      5.88e-02      5.77e-02    1.0e-03
   3700      1.80e+00      2.37e-02      5.69e-02    1.0e-03
   3800      2.46e+00      3.63e-02      7.77e-02    1.0e-03
   3900      1.98e+00      1.68e-02      6.26e-02    1.0e-03
   4000      2.47e+00      5.71e-02      7.80e-02    1.0e-03
   4100      2.19e+00      3.28e-02      6.91e-02    1.0e-03
   4200      2.22e+00      2.01e-02      7.02e-02    1.0e-03
   4300      2.15e+00      3.02e-02      6.79e-02    1.0e-03
   4400      2.46e+00      1.39e-01      7.77e-02    1.0e-03
   4500      2.05e+00      4.55e-02      6.49e-02    1.0e-03
   4600      1.70e+00      3.21e-02      5.37e-02    1.0e-03
   4700      2.10e+00      3.96e-02      6.65e-02    1.0e-03
   4800      2.38e+00      1.28e-02      7.52e-02    1.0e-03
   4900      2.08e+00      3.57e-02      6.59e-02    1.0e-03
   5000      1.83e+00      2.04e-02      5.93e-02    9.5e-04
   5100      2.09e+00      3.00e-02      6.77e-02    9.5e-04
   5200      1.95e+00      4.51e-02      6.32e-02    9.5e-04
   5300      1.53e+00      2.51e-02      4.95e-02    9.5e-04
   5400      2.20e+00      2.60e-02      7.14e-02    9.5e-04
   5500      1.73e+00      2.02e-02      5.63e-02    9.5e-04
   5600      2.52e+00      2.10e-02      8.19e-02    9.5e-04
   5700      2.70e+00      3.58e-02      8.77e-02    9.5e-04
   5800      1.93e+00      4.63e-02      6.26e-02    9.5e-04
   5900      2.22e+00      2.31e-02      7.22e-02    9.5e-04
   6000      2.50e+00      3.93e-02      8.12e-02    9.5e-04
   6100      1.97e+00      3.34e-02      6.40e-02    9.5e-04
   6200      2.02e+00      3.24e-02      6.57e-02    9.5e-04
   6300      2.20e+00      4.16e-02      7.13e-02    9.5e-04
   6400      2.57e+00      2.95e-02      8.33e-02    9.5e-04
   6500      2.15e+00      5.43e-02      6.97e-02    9.5e-04
   6600      2.83e+00      2.01e-02      9.17e-02    9.5e-04
   6700      2.20e+00      3.46e-02      7.13e-02    9.5e-04
   6800      2.10e+00      2.89e-02      6.83e-02    9.5e-04
   6900      1.78e+00      2.97e-02      5.77e-02    9.5e-04
   7000      2.95e+00      5.95e-02      9.58e-02    9.5e-04
   7100      2.59e+00      4.48e-02      8.41e-02    9.5e-04
   7200      1.76e+00      2.81e-02      5.71e-02    9.5e-04
   7300      2.36e+00      2.13e-02      7.66e-02    9.5e-04
   7400      1.96e+00      1.40e-02      6.35e-02    9.5e-04
   7500      1.76e+00      4.58e-02      5.72e-02    9.5e-04
   7600      1.80e+00      8.87e-02      5.85e-02    9.5e-04
   7700      1.84e+00      1.50e-02      5.97e-02    9.5e-04
   7800      1.65e+00      1.30e-02      5.35e-02    9.5e-04
   7900      2.44e+00      2.47e-02      7.91e-02    9.5e-04
   8000      2.15e+00      2.51e-02      6.98e-02    9.5e-04
   8100      2.40e+00      4.19e-02      7.80e-02    9.5e-04
   8200      1.34e+00      6.24e-02      4.35e-02    9.5e-04
   8300      2.49e+00      4.35e-02      8.08e-02    9.5e-04
   8400      1.73e+00      8.62e-03      5.62e-02    9.5e-04
   8500      1.94e+00      6.15e-02      6.29e-02    9.5e-04
   8600      1.89e+00      8.33e-02      6.14e-02    9.5e-04
   8700      2.30e+00      3.75e-02      7.48e-02    9.5e-04
   8800      2.10e+00      3.38e-02      6.82e-02    9.5e-04
   8900      1.27e+00      7.80e-02      4.11e-02    9.5e-04
   9000      1.26e+00      2.44e-02      4.08e-02    9.5e-04
   9100      1.72e+00      4.39e-02      5.58e-02    9.5e-04
   9200      1.87e+00      5.31e-02      6.06e-02    9.5e-04
   9300      2.53e+00      3.12e-02      8.22e-02    9.5e-04
   9400      2.17e+00      3.27e-02      7.04e-02    9.5e-04
   9500      1.80e+00      3.19e-02      5.85e-02    9.5e-04
   9600      1.93e+00      4.08e-02      6.27e-02    9.5e-04
   9700      2.10e+00      5.34e-02      6.83e-02    9.5e-04
   9800      1.95e+00      7.17e-02      6.32e-02    9.5e-04
   9900      1.62e+00      6.91e-02      5.25e-02    9.5e-04
  10000      2.12e+00      1.92e-02      7.06e-02    9.0e-04
  10100      2.04e+00      4.56e-02      6.78e-02    9.0e-04
  10200      1.80e+00      2.26e-02      5.99e-02    9.0e-04
  10300      1.72e+00      2.80e-02      5.74e-02    9.0e-04
  10400      1.88e+00      2.31e-02      6.27e-02    9.0e-04
  10500      2.31e+00      2.18e-02      7.69e-02    9.0e-04
  10600      1.82e+00      6.25e-02      6.06e-02    9.0e-04
  10700      1.82e+00      7.19e-02      6.08e-02    9.0e-04
  10800      1.45e+00      2.60e-02      4.84e-02    9.0e-04
  10900      1.74e+00      4.53e-02      5.80e-02    9.0e-04
  11000      1.80e+00      4.91e-02      6.01e-02    9.0e-04
  11100      1.95e+00      1.80e-02      6.48e-02    9.0e-04
  11200      1.87e+00      1.86e-02      6.22e-02    9.0e-04
  11300      2.12e+00      3.50e-02      7.08e-02    9.0e-04
  11400      1.56e+00      3.29e-02      5.20e-02    9.0e-04
  11500      2.37e+00      2.99e-02      7.90e-02    9.0e-04
  11600      2.41e+00      2.44e-02      8.03e-02    9.0e-04
  11700      2.20e+00      1.81e-02      7.31e-02    9.0e-04
  11800      2.07e+00      5.43e-02      6.89e-02    9.0e-04
  11900      2.41e+00      6.48e-02      8.02e-02    9.0e-04
  12000      2.00e+00      2.27e-02      6.67e-02    9.0e-04
  12100      1.79e+00      2.68e-02      5.97e-02    9.0e-04
  12200      1.89e+00      3.79e-02      6.30e-02    9.0e-04
  12300      1.41e+00      3.93e-02      4.70e-02    9.0e-04
  12400      1.65e+00      3.81e-02      5.50e-02    9.0e-04
  12500      1.48e+00      4.89e-02      4.93e-02    9.0e-04
  12600      2.15e+00      4.76e-02      7.17e-02    9.0e-04
  12700      1.79e+00      6.78e-02      5.96e-02    9.0e-04
  12800      1.89e+00      9.12e-02      6.30e-02    9.0e-04
  12900      1.77e+00      6.49e-02      5.90e-02    9.0e-04
  13000      1.68e+00      3.32e-02      5.59e-02    9.0e-04
  13100      1.76e+00      1.74e-02      5.87e-02    9.0e-04
  13200      1.99e+00      3.49e-02      6.63e-02    9.0e-04
  13300      1.96e+00      2.60e-02      6.54e-02    9.0e-04
  13400      1.11e+00      1.36e-02      3.69e-02    9.0e-04
  13500      1.03e+00      5.13e-02      3.42e-02    9.0e-04
  13600      1.36e+00      1.41e-02      4.54e-02    9.0e-04
  13700      1.79e+00      8.61e-02      5.95e-02    9.0e-04
  13800      1.41e+00      4.99e-02      4.70e-02    9.0e-04
  13900      2.38e+00      7.48e-02      7.91e-02    9.0e-04
  14000      2.32e+00      3.02e-02      7.72e-02    9.0e-04
  14100      2.12e+00      2.36e-02      7.08e-02    9.0e-04
  14200      1.76e+00      6.77e-02      5.87e-02    9.0e-04
  14300      2.09e+00      6.06e-02      6.96e-02    9.0e-04
  14400      1.89e+00      1.88e-02      6.30e-02    9.0e-04
  14500      1.35e+00      1.72e-02      4.49e-02    9.0e-04
  14600      2.19e+00      8.35e-02      7.30e-02    9.0e-04
  14700      1.90e+00      1.30e-02      6.33e-02    9.0e-04
  14800      2.15e+00      1.95e-02      7.17e-02    9.0e-04
  14900      1.73e+00      3.53e-02      5.75e-02    9.0e-04
  15000      2.02e+00      6.38e-02      6.91e-02    8.6e-04
  15100      1.87e+00      2.33e-02      6.39e-02    8.6e-04
  15200      1.71e+00      2.96e-02      5.85e-02    8.6e-04
  15300      1.57e+00      3.39e-02      5.35e-02    8.6e-04
  15400      1.55e+00      1.45e-02      5.31e-02    8.6e-04
  15500      2.19e+00      2.17e-02      7.48e-02    8.6e-04
  15600      1.63e+00      1.37e-02      5.57e-02    8.6e-04
  15700      1.79e+00      6.26e-02      6.12e-02    8.6e-04
  15800      1.25e+00      5.04e-03      4.27e-02    8.6e-04
  15900      2.07e+00      3.02e-02      7.06e-02    8.6e-04
  16000      1.81e+00      2.00e-02      6.20e-02    8.6e-04
  16100      2.37e+00      3.33e-02      8.10e-02    8.6e-04
  16200      1.96e+00      3.86e-02      6.71e-02    8.6e-04
  16300      1.96e+00      4.79e-02      6.69e-02    8.6e-04
  16400      1.52e+00      2.41e-02      5.19e-02    8.6e-04
  16500      1.61e+00      2.81e-02      5.52e-02    8.6e-04
  16600      1.39e+00      1.89e-02      4.74e-02    8.6e-04
  16700      1.79e+00      1.99e-02      6.12e-02    8.6e-04
  16800      2.05e+00      1.41e-02      7.02e-02    8.6e-04
  16900      1.85e+00      1.46e-02      6.31e-02    8.6e-04
  17000      2.31e+00      5.05e-02      7.91e-02    8.6e-04
  17100      1.78e+00      3.90e-02      6.09e-02    8.6e-04
  17200      1.96e+00      1.02e-02      6.69e-02    8.6e-04
  17300      1.85e+00      2.40e-02      6.32e-02    8.6e-04
  17400      2.07e+00      2.41e-02      7.08e-02    8.6e-04
  17500      1.68e+00      5.44e-02      5.74e-02    8.6e-04
  17600      1.50e+00      6.76e-02      5.13e-02    8.6e-04
  17700      2.15e+00      2.52e-02      7.35e-02    8.6e-04
  17800      1.57e+00      7.67e-02      5.35e-02    8.6e-04
