#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
      0      2.48e+01      2.18e-01      7.83e-01    1.0e-03
    100      3.60e+00      3.86e-01      1.14e-01    1.0e-03
    200      2.72e+00      2.48e-01      8.59e-02    1.0e-03
    300      4.53e+00      2.03e-01      1.43e-01    1.0e-03
    400      2.30e+00      5.94e-02      7.28e-02    1.0e-03
    500      3.71e+00      6.38e-02      1.17e-01    1.0e-03
    600      3.70e+00      7.06e-02      1.17e-01    1.0e-03
    700      2.63e+00      8.83e-02      8.31e-02    1.0e-03
    800      2.65e+00      6.78e-02      8.37e-02    1.0e-03
    900      3.39e+00      8.26e-02      1.07e-01    1.0e-03
   1000      2.64e+00      4.92e-02      8.35e-02    1.0e-03
   1100      2.56e+00      4.96e-02      8.09e-02    1.0e-03
   1200      3.01e+00      5.35e-02      9.51e-02    1.0e-03
   1300      2.40e+00      4.74e-02      7.58e-02    1.0e-03
   1400      2.14e+00      3.48e-02      6.78e-02    1.0e-03
   1500      1.76e+00      7.76e-02      5.57e-02    1.0e-03
   1600      2.30e+00      2.85e-02      7.28e-02    1.0e-03
   1700      2.56e+00      3.75e-02      8.08e-02    1.0e-03
   1800      1.95e+00      4.87e-02      6.17e-02    1.0e-03
   1900      2.72e+00      5.40e-02      8.61e-02    1.0e-03
   2000      2.67e+00      6.17e-02      8.45e-02    1.0e-03
   2100      2.24e+00      5.66e-02      7.07e-02    1.0e-03
   2200      1.98e+00      3.99e-02      6.25e-02    1.0e-03
   2300      2.21e+00      5.55e-02      7.00e-02    1.0e-03
   2400      2.98e+00      4.66e-02      9.41e-02    1.0e-03
   2500      2.48e+00      3.70e-02      7.85e-02    1.0e-03
   2600      2.50e+00      4.30e-02      7.91e-02    1.0e-03
   2700      2.04e+00      3.84e-02      6.45e-02    1.0e-03
   2800      1.65e+00      5.69e-02      5.22e-02    1.0e-03
   2900      2.58e+00      4.30e-02      8.16e-02    1.0e-03
   3000      2.23e+00      4.85e-02      7.06e-02    1.0e-03
   3100      2.60e+00      2.41e-02      8.22e-02    1.0e-03
   3200      1.85e+00      1.00e-01      5.85e-02    1.0e-03
   3300      2.48e+00      3.28e-02      7.85e-02    1.0e-03
   3400      2.15e+00      2.82e-02      6.80e-02    1.0e-03
   3500      2.12e+00      2.41e-02      6.71e-02    1.0e-03
   3600      2.52e+00      5.05e-02      7.96e-02    1.0e-03
   3700      2.72e+00      3.27e-02      8.59e-02    1.0e-03
   3800      2.34e+00      3.88e-02      7.39e-02    1.0e-03
   3900      2.53e+00      3.39e-02      8.01e-02    1.0e-03
   4000      3.13e+00      1.12e-01      9.91e-02    1.0e-03
   4100      2.61e+00      2.68e-02      8.26e-02    1.0e-03
   4200      2.46e+00      3.64e-02      7.79e-02    1.0e-03
   4300      2.36e+00      5.21e-02      7.45e-02    1.0e-03
   4400      2.41e+00      4.42e-02      7.61e-02    1.0e-03
   4500      2.83e+00      8.12e-02      8.96e-02    1.0e-03
   4600      2.30e+00      7.59e-02      7.27e-02    1.0e-03
   4700      2.57e+00      4.50e-02      8.11e-02    1.0e-03
   4800      2.14e+00      2.75e-02      6.78e-02    1.0e-03
   4900      2.28e+00      3.22e-02      7.20e-02    1.0e-03
   5000      2.23e+00      4.23e-02      7.24e-02    9.5e-04
   5100      2.08e+00      4.96e-02      6.74e-02    9.5e-04
   5200      1.94e+00      2.65e-02      6.29e-02    9.5e-04
   5300      2.42e+00      5.09e-02      7.87e-02    9.5e-04
   5400      2.03e+00      2.03e-02      6.59e-02    9.5e-04
   5500      2.02e+00      3.67e-02      6.55e-02    9.5e-04
   5600      2.60e+00      2.88e-02      8.45e-02    9.5e-04
   5700      2.56e+00      3.35e-02      8.30e-02    9.5e-04
   5800      1.99e+00      4.51e-02      6.47e-02    9.5e-04
   5900      3.16e+00      1.26e-01      1.02e-01    9.5e-04
   6000      2.64e+00      5.15e-02      8.56e-02    9.5e-04
   6100      2.10e+00      3.05e-02      6.80e-02    9.5e-04
   6200      1.78e+00      1.15e-02      5.76e-02    9.5e-04
   6300      2.14e+00      2.44e-02      6.94e-02    9.5e-04
   6400      2.95e+00      4.37e-02      9.56e-02    9.5e-04
   6500      2.22e+00      4.90e-02      7.21e-02    9.5e-04
   6600      2.40e+00      4.07e-02      7.79e-02    9.5e-04
   6700      2.32e+00      3.48e-02      7.52e-02    9.5e-04
   6800      2.64e+00      2.07e-02      8.58e-02    9.5e-04
   6900      2.25e+00      2.79e-02      7.31e-02    9.5e-04
   7000      2.44e+00      2.45e-02      7.92e-02    9.5e-04
   7100      2.42e+00      6.67e-02      7.86e-02    9.5e-04
   7200      2.16e+00      3.76e-02      7.01e-02    9.5e-04
   7300      2.57e+00      4.74e-02      8.33e-02    9.5e-04
   7400      2.37e+00      5.08e-02      7.69e-02    9.5e-04
   7500      2.35e+00      2.18e-02      7.62e-02    9.5e-04
   7600      1.87e+00      3.48e-02      6.07e-02    9.5e-04
   7700      1.90e+00      3.12e-02      6.16e-02    9.5e-04
   7800      2.52e+00      4.19e-02      8.17e-02    9.5e-04
   7900      2.38e+00      2.88e-02      7.74e-02    9.5e-04
   8000      2.12e+00      2.92e-02      6.89e-02    9.5e-04
   8100      2.05e+00      2.29e-02      6.66e-02    9.5e-04
   8200      1.92e+00      2.42e-02      6.24e-02    9.5e-04
   8300      1.88e+00      3.68e-02      6.09e-02    9.5e-04
   8400      2.18e+00      2.92e-02      7.07e-02    9.5e-04
   8500      2.45e+00      4.94e-02      7.95e-02    9.5e-04
   8600      1.80e+00      1.97e-02      5.83e-02    9.5e-04
   8700      2.39e+00      2.29e-02      7.74e-02    9.5e-04
   8800      1.75e+00      1.88e-02      5.67e-02    9.5e-04
   8900      2.06e+00      3.57e-02      6.68e-02    9.5e-04
   9000      2.05e+00      4.20e-02      6.64e-02    9.5e-04
   9100      1.84e+00      1.41e-02      5.97e-02    9.5e-04
   9200      2.24e+00      4.37e-02      7.27e-02    9.5e-04
   9300      1.87e+00      2.43e-02      6.07e-02    9.5e-04
   9400      1.94e+00      1.35e-02      6.30e-02    9.5e-04
   9500      1.62e+00      1.66e-02      5.25e-02    9.5e-04
   9600      2.24e+00      2.86e-02      7.27e-02    9.5e-04
   9700      1.50e+00      3.59e-02      4.88e-02    9.5e-04
   9800      1.87e+00      1.43e-02      6.08e-02    9.5e-04
   9900      1.89e+00      3.62e-02      6.14e-02    9.5e-04
  10000      1.41e+00      2.42e-02      4.70e-02    9.0e-04
  10100      2.40e+00      2.14e-02      7.99e-02    9.0e-04
  10200      1.13e+00      3.25e-02      3.77e-02    9.0e-04
  10300      2.11e+00      2.23e-02      7.02e-02    9.0e-04
  10400      1.56e+00      4.72e-02      5.19e-02    9.0e-04
  10500      1.97e+00      2.53e-02      6.57e-02    9.0e-04
  10600      1.93e+00      1.82e-02      6.42e-02    9.0e-04
  10700      2.03e+00      3.18e-02      6.76e-02    9.0e-04
  10800      1.69e+00      3.47e-02      5.63e-02    9.0e-04
  10900      1.87e+00      3.68e-02      6.23e-02    9.0e-04
  11000      1.72e+00      2.60e-02      5.72e-02    9.0e-04
  11100      2.17e+00      3.20e-02      7.22e-02    9.0e-04
