#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
      0      6.99e+00      1.44e+00      2.20e-01    1.0e-03
    100      3.91e+00      1.05e+00      1.23e-01    1.0e-03
    200      3.34e+00      9.81e-01      1.05e-01    1.0e-03
    300      2.61e+00      8.04e-01      8.20e-02    1.0e-03
    400      2.82e+00      6.31e-01      8.88e-02    1.0e-03
    500      2.43e+00      4.53e-01      7.67e-02    1.0e-03
    600      2.34e+00      4.11e-01      7.39e-02    1.0e-03
    700      2.61e+00      3.17e-01      8.23e-02    1.0e-03
    800      2.06e+00      2.39e-01      6.52e-02    1.0e-03
    900      2.19e+00      1.81e-01      6.93e-02    1.0e-03
   1000      2.49e+00      1.37e-01      7.86e-02    1.0e-03
   1100      2.48e+00      8.06e-02      7.86e-02    1.0e-03
   1200      1.58e+00      7.34e-02      4.98e-02    1.0e-03
   1300      2.58e+00      7.51e-02      8.17e-02    1.0e-03
   1400      2.44e+00      2.75e-02      7.72e-02    1.0e-03
   1500      1.89e+00      2.31e-02      5.98e-02    1.0e-03
   1600      2.11e+00      4.38e-02      6.68e-02    1.0e-03
   1700      3.84e+00      5.63e-02      1.22e-01    1.0e-03
   1800      2.05e+00      5.61e-02      6.50e-02    1.0e-03
   1900      2.74e+00      6.21e-02      8.67e-02    1.0e-03
   2000      2.08e+00      2.58e-02      6.57e-02    1.0e-03
   2100      2.08e+00      5.17e-02      6.58e-02    1.0e-03
   2200      2.22e+00      2.29e-02      7.02e-02    1.0e-03
   2300      2.47e+00      5.83e-02      7.81e-02    1.0e-03
   2400      1.89e+00      4.46e-02      5.96e-02    1.0e-03
   2500      1.97e+00      4.90e-02      6.22e-02    1.0e-03
   2600      2.10e+00      3.26e-02      6.63e-02    1.0e-03
   2700      2.32e+00      9.65e-02      7.33e-02    1.0e-03
   2800      2.03e+00      1.89e-02      6.41e-02    1.0e-03
   2900      2.09e+00      5.09e-02      6.61e-02    1.0e-03
   3000      2.08e+00      4.48e-02      6.58e-02    1.0e-03
   3100      2.07e+00      3.06e-02      6.55e-02    1.0e-03
   3200      2.49e+00      3.83e-02      7.86e-02    1.0e-03
   3300      2.16e+00      2.29e-02      6.82e-02    1.0e-03
   3400      2.18e+00      3.34e-02      6.89e-02    1.0e-03
   3500      2.38e+00      3.39e-02      7.53e-02    1.0e-03
   3600      1.96e+00      4.22e-02      6.21e-02    1.0e-03
   3700      2.12e+00      5.26e-02      6.70e-02    1.0e-03
   3800      1.88e+00      4.70e-02      5.93e-02    1.0e-03
   3900      2.70e+00      3.39e-02      8.55e-02    1.0e-03
   4000      2.47e+00      2.20e-02      7.81e-02    1.0e-03
   4100      2.60e+00      4.40e-02      8.21e-02    1.0e-03
   4200      2.72e+00      5.39e-02      8.60e-02    1.0e-03
   4300      2.09e+00      8.65e-02      6.60e-02    1.0e-03
   4400      1.72e+00      8.58e-03      5.43e-02    1.0e-03
   4500      1.95e+00      1.88e-02      6.16e-02    1.0e-03
   4600      2.49e+00      4.67e-02      7.86e-02    1.0e-03
   4700      2.41e+00      6.66e-03      7.62e-02    1.0e-03
   4800      2.16e+00      2.20e-02      6.83e-02    1.0e-03
   4900      1.93e+00      1.62e-02      6.11e-02    1.0e-03
   5000      1.91e+00      2.43e-02      6.19e-02    9.5e-04
   5100      2.27e+00      1.74e-02      7.36e-02    9.5e-04
   5200      1.50e+00      2.04e-02      4.88e-02    9.5e-04
   5300      1.97e+00      3.28e-02      6.39e-02    9.5e-04
   5400      2.26e+00      5.84e-02      7.34e-02    9.5e-04
   5500      2.11e+00      1.50e-02      6.85e-02    9.5e-04
   5600      2.01e+00      4.14e-02      6.53e-02    9.5e-04
   5700      2.48e+00      1.94e-02      8.04e-02    9.5e-04
   5800      1.23e+00      1.03e-02      4.01e-02    9.5e-04
   5900      1.27e+00      5.85e-02      4.11e-02    9.5e-04
   6000      2.17e+00      3.49e-02      7.03e-02    9.5e-04
   6100      1.66e+00      2.90e-02      5.38e-02    9.5e-04
   6200      2.41e+00      4.39e-02      7.84e-02    9.5e-04
   6300      2.76e+00      3.14e-02      8.97e-02    9.5e-04
   6400      1.87e+00      4.97e-02      6.07e-02    9.5e-04
   6500      1.95e+00      5.68e-02      6.32e-02    9.5e-04
   6600      1.82e+00      3.36e-02      5.90e-02    9.5e-04
   6700      1.61e+00      2.74e-02      5.22e-02    9.5e-04
   6800      1.65e+00      2.61e-02      5.37e-02    9.5e-04
   6900      2.07e+00      1.44e-02      6.73e-02    9.5e-04
   7000      1.58e+00      2.08e-02      5.13e-02    9.5e-04
   7100      2.12e+00      1.26e-02      6.89e-02    9.5e-04
   7200      1.91e+00      3.78e-02      6.19e-02    9.5e-04
   7300      1.55e+00      3.21e-02      5.02e-02    9.5e-04
   7400      2.60e+00      3.64e-02      8.45e-02    9.5e-04
   7500      1.98e+00      3.11e-02      6.44e-02    9.5e-04
   7600      1.93e+00      2.66e-02      6.25e-02    9.5e-04
   7700      2.20e+00      4.87e-02      7.13e-02    9.5e-04
   7800      2.11e+00      4.56e-02      6.85e-02    9.5e-04
   7900      2.22e+00      3.60e-02      7.22e-02    9.5e-04
   8000      1.74e+00      6.44e-02      5.63e-02    9.5e-04
   8100      2.27e+00      3.77e-02      7.38e-02    9.5e-04
   8200      2.85e+00      4.68e-02      9.24e-02    9.5e-04
   8300      1.95e+00      4.78e-02      6.34e-02    9.5e-04
   8400      2.26e+00      2.37e-02      7.35e-02    9.5e-04
