#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
      0      1.82e+01      9.45e-01      5.75e-01    1.0e-03
    100      3.44e+00      3.87e-01      1.09e-01    1.0e-03
    200      2.21e+00      2.15e-01      6.97e-02    1.0e-03
    300      2.72e+00      1.35e-01      8.59e-02    1.0e-03
    400      3.21e+00      7.49e-02      1.02e-01    1.0e-03
    500      2.11e+00      2.59e-02      6.67e-02    1.0e-03
    600      2.51e+00      5.40e-02      7.93e-02    1.0e-03
    700      2.53e+00      2.38e-02      8.02e-02    1.0e-03
    800      2.32e+00      4.22e-02      7.34e-02    1.0e-03
    900      2.70e+00      4.64e-02      8.53e-02    1.0e-03
   1000      2.43e+00      5.10e-02      7.70e-02    1.0e-03
   1100      2.74e+00      7.41e-02      8.67e-02    1.0e-03
   1200      2.32e+00      4.07e-02      7.35e-02    1.0e-03
   1300      2.44e+00      4.90e-02      7.72e-02    1.0e-03
   1400      2.72e+00      2.56e-02      8.61e-02    1.0e-03
   1500      2.49e+00      5.77e-02      7.87e-02    1.0e-03
   1600      2.34e+00      4.05e-02      7.40e-02    1.0e-03
   1700      2.54e+00      4.85e-02      8.04e-02    1.0e-03
   1800      3.18e+00      7.26e-02      1.00e-01    1.0e-03
   1900      2.49e+00      4.75e-02      7.88e-02    1.0e-03
   2000      2.50e+00      8.45e-02      7.90e-02    1.0e-03
   2100      2.76e+00      4.10e-02      8.73e-02    1.0e-03
   2200      2.83e+00      4.27e-02      8.96e-02    1.0e-03
   2300      2.08e+00      5.76e-02      6.57e-02    1.0e-03
   2400      1.68e+00      8.27e-02      5.30e-02    1.0e-03
   2500      2.41e+00      7.47e-02      7.63e-02    1.0e-03
   2600      2.02e+00      6.50e-02      6.40e-02    1.0e-03
   2700      2.26e+00      4.04e-02      7.16e-02    1.0e-03
   2800      2.10e+00      3.96e-02      6.63e-02    1.0e-03
   2900      2.34e+00      5.87e-02      7.40e-02    1.0e-03
   3000      2.67e+00      3.27e-02      8.43e-02    1.0e-03
   3100      2.47e+00      7.58e-02      7.82e-02    1.0e-03
   3200      2.91e+00      4.40e-02      9.22e-02    1.0e-03
   3300      2.27e+00      2.48e-02      7.18e-02    1.0e-03
   3400      2.25e+00      3.72e-02      7.11e-02    1.0e-03
   3500      2.56e+00      4.30e-02      8.10e-02    1.0e-03
   3600      2.63e+00      5.57e-02      8.31e-02    1.0e-03
   3700      1.42e+00      1.92e-02      4.48e-02    1.0e-03
   3800      1.81e+00      1.84e-02      5.72e-02    1.0e-03
   3900      1.97e+00      3.33e-02      6.23e-02    1.0e-03
   4000      1.66e+00      2.85e-02      5.24e-02    1.0e-03
   4100      1.47e+00      1.38e-02      4.64e-02    1.0e-03
   4200      1.89e+00      3.34e-02      5.96e-02    1.0e-03
   4300      2.27e+00      2.67e-02      7.18e-02    1.0e-03
   4400      2.12e+00      4.51e-02      6.72e-02    1.0e-03
   4500      1.86e+00      3.42e-02      5.89e-02    1.0e-03
