#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
   9900      2.09e+00      1.98e-02      6.77e-02    9.5e-04
  10000      3.40e+00      7.95e-02      1.13e-01    9.0e-04
  10100      2.13e+00      3.28e-02      7.09e-02    9.0e-04
  10200      2.74e+00      4.60e-02      9.12e-02    9.0e-04
  10300      2.90e+00      6.91e-02      9.65e-02    9.0e-04
  10400      2.85e+00      8.97e-02      9.51e-02    9.0e-04
  10500      2.28e+00      3.24e-02      7.59e-02    9.0e-04
  10600      2.41e+00      4.19e-02      8.02e-02    9.0e-04
  10700      2.55e+00      3.20e-02      8.50e-02    9.0e-04
  10800      2.28e+00      2.38e-02      7.58e-02    9.0e-04
  10900      3.55e+00      4.88e-02      1.18e-01    9.0e-04
  11000      1.96e+00      3.59e-02      6.54e-02    9.0e-04
  11100      2.46e+00      4.21e-02      8.19e-02    9.0e-04
  11200      1.98e+00      4.60e-02      6.59e-02    9.0e-04
  11300      2.06e+00      2.87e-02      6.86e-02    9.0e-04
  11400      2.26e+00      4.20e-02      7.52e-02    9.0e-04
  11500      2.63e+00      3.18e-02      8.77e-02    9.0e-04
  11600      2.07e+00      4.86e-02      6.90e-02    9.0e-04
  11700      2.36e+00      6.89e-02      7.86e-02    9.0e-04
  11800      2.16e+00      7.16e-02      7.18e-02    9.0e-04
  11900      2.34e+00      6.94e-02      7.81e-02    9.0e-04
  12000      1.98e+00      1.11e-01      6.59e-02    9.0e-04
  12100      2.35e+00      5.93e-02      7.84e-02    9.0e-04
  12200      2.42e+00      3.60e-02      8.06e-02    9.0e-04
  12300      1.75e+00      2.63e-02      5.82e-02    9.0e-04
  12400      2.02e+00      3.26e-02      6.73e-02    9.0e-04
  12500      1.80e+00      2.84e-02      6.00e-02    9.0e-04
  12600      2.74e+00      4.63e-02      9.11e-02    9.0e-04
  12700      1.50e+00      1.86e-02      4.98e-02    9.0e-04
  12800      1.91e+00      4.84e-02      6.35e-02    9.0e-04
  12900      2.31e+00      9.12e-02      7.69e-02    9.0e-04
  13000      2.50e+00      6.53e-02      8.32e-02    9.0e-04
  13100      2.03e+00      4.30e-02      6.76e-02    9.0e-04
  13200      1.70e+00      8.02e-02      5.66e-02    9.0e-04
  13300      2.55e+00      5.45e-02      8.50e-02    9.0e-04
  13400      2.06e+00      2.28e-02      6.88e-02    9.0e-04
  13500      2.45e+00      6.38e-02      8.15e-02    9.0e-04
  13600      2.21e+00      4.52e-02      7.37e-02    9.0e-04
  13700      1.89e+00      4.31e-02      6.30e-02    9.0e-04
  13800      2.09e+00      2.36e-02      6.96e-02    9.0e-04
  13900      1.96e+00      3.40e-02      6.54e-02    9.0e-04
  14000      2.84e+00      6.43e-02      9.44e-02    9.0e-04
  14100      2.28e+00      4.54e-02      7.60e-02    9.0e-04
  14200      2.16e+00      2.25e-02      7.21e-02    9.0e-04
  14300      1.72e+00      4.99e-02      5.72e-02    9.0e-04
  14400      2.00e+00      2.14e-02      6.65e-02    9.0e-04
  14500      2.47e+00      6.99e-02      8.22e-02    9.0e-04
  14600      2.22e+00      2.80e-02      7.40e-02    9.0e-04
  14700      2.45e+00      4.53e-02      8.18e-02    9.0e-04
  14800      2.66e+00      3.87e-02      8.86e-02    9.0e-04
  14900      1.76e+00      4.00e-02      5.88e-02    9.0e-04
  15000      2.15e+00      3.10e-02      7.34e-02    8.6e-04
  15100      2.55e+00      2.10e-02      8.73e-02    8.6e-04
  15200      3.34e+00      5.08e-02      1.14e-01    8.6e-04
  15300      2.10e+00      2.48e-02      7.20e-02    8.6e-04
  15400      1.87e+00      2.18e-02      6.38e-02    8.6e-04
  15500      2.96e+00      6.32e-02      1.01e-01    8.6e-04
  15600      2.70e+00      3.48e-02      9.22e-02    8.6e-04
  15700      2.05e+00      3.75e-02      7.02e-02    8.6e-04
  15800      2.22e+00      2.12e-02      7.59e-02    8.6e-04
  15900      2.15e+00      3.88e-02      7.35e-02    8.6e-04
  16000      1.74e+00      1.94e-02      5.96e-02    8.6e-04
  16100      1.95e+00      2.95e-02      6.68e-02    8.6e-04
  16200      1.98e+00      1.48e-02      6.76e-02    8.6e-04
  16300      2.61e+00      8.46e-02      8.92e-02    8.6e-04
  16400      2.16e+00      2.95e-02      7.38e-02    8.6e-04
  16500      1.67e+00      3.16e-02      5.69e-02    8.6e-04
  16600      1.75e+00      1.86e-02      6.00e-02    8.6e-04
  16700      2.11e+00      5.09e-02      7.21e-02    8.6e-04
  16800      2.32e+00      4.13e-02      7.95e-02    8.6e-04
  16900      1.55e+00      4.73e-02      5.31e-02    8.6e-04
  17000      2.64e+00      3.51e-02      9.02e-02    8.6e-04
  17100      2.10e+00      1.98e-02      7.20e-02    8.6e-04
  17200      1.53e+00      3.10e-02      5.22e-02    8.6e-04
  17300      1.99e+00      3.93e-02      6.79e-02    8.6e-04
  17400      2.15e+00      3.86e-02      7.36e-02    8.6e-04
  17500      2.15e+00      1.48e-01      7.35e-02    8.6e-04
  17600      1.94e+00      6.49e-02      6.64e-02    8.6e-04
  17700      1.55e+00      8.20e-02      5.30e-02    8.6e-04
  17800      2.44e+00      8.52e-02      8.33e-02    8.6e-04
  17900      2.58e+00      4.09e-02      8.80e-02    8.6e-04
  18000      1.34e+00      4.45e-02      4.58e-02    8.6e-04
  18100      2.28e+00      7.06e-02      7.79e-02    8.6e-04
  18200      2.03e+00      4.40e-02      6.95e-02    8.6e-04
  18300      1.51e+00      2.01e-02      5.15e-02    8.6e-04
  18400      1.94e+00      4.08e-02      6.62e-02    8.6e-04
  18500      2.15e+00      5.58e-02      7.36e-02    8.6e-04
  18600      2.10e+00      3.76e-02      7.17e-02    8.6e-04
  18700      1.58e+00      1.77e-02      5.39e-02    8.6e-04
  18800      2.07e+00      2.19e-02      7.08e-02    8.6e-04
  18900      2.91e+00      8.33e-02      9.94e-02    8.6e-04
  19000      1.57e+00      5.37e-02      5.36e-02    8.6e-04
  19100      1.23e+00      7.61e-02      4.19e-02    8.6e-04
  19200      2.37e+00      4.80e-02      8.11e-02    8.6e-04
  19300      2.27e+00      9.89e-02      7.75e-02    8.6e-04
  19400      1.82e+00      6.19e-02      6.22e-02    8.6e-04
  19500      1.93e+00      6.85e-02      6.61e-02    8.6e-04
  19600      2.23e+00      9.17e-02      7.61e-02    8.6e-04
  19700      1.84e+00      3.02e-02      6.29e-02    8.6e-04
  19800      1.76e+00      3.77e-02      6.02e-02    8.6e-04
  19900      2.59e+00      8.06e-02      8.85e-02    8.6e-04
  20000      1.61e+00      5.63e-02      5.63e-02    8.1e-04
  20100      1.77e+00      4.63e-02      6.20e-02    8.1e-04
  20200      1.73e+00      3.71e-02      6.06e-02    8.1e-04
  20300      2.49e+00      6.61e-02      8.73e-02    8.1e-04
  20400      2.10e+00      4.69e-02      7.38e-02    8.1e-04
  20500      2.31e+00      3.55e-02      8.10e-02    8.1e-04
  20600      1.83e+00      4.20e-02      6.41e-02    8.1e-04
  20700      2.43e+00      3.54e-02      8.53e-02    8.1e-04
  20800      1.96e+00      5.02e-02      6.89e-02    8.1e-04
  20900      1.79e+00      3.19e-02      6.27e-02    8.1e-04
  21000      1.90e+00      8.91e-02      6.68e-02    8.1e-04
  21100      1.72e+00      3.90e-02      6.03e-02    8.1e-04
  21200      2.30e+00      5.34e-02      8.07e-02    8.1e-04
  21300      1.77e+00      5.95e-02      6.22e-02    8.1e-04
  21400      1.63e+00      5.91e-02      5.70e-02    8.1e-04
  21500      2.40e+00      5.61e-02      8.43e-02    8.1e-04
  21600      2.00e+00      2.53e-02      7.03e-02    8.1e-04
  21700      2.28e+00      5.10e-02      8.01e-02    8.1e-04
  21800      1.82e+00      4.83e-02      6.37e-02    8.1e-04
  21900      1.98e+00      3.91e-02      6.93e-02    8.1e-04
  22000      1.86e+00      1.98e-02      6.54e-02    8.1e-04
  22100      1.69e+00      2.84e-02      5.95e-02    8.1e-04
  22200      2.26e+00      6.29e-02      7.94e-02    8.1e-04
  22300      2.85e+00      4.28e-02      1.00e-01    8.1e-04
  22400      2.05e+00      4.73e-02      7.18e-02    8.1e-04
  22500      1.71e+00      3.02e-02      5.99e-02    8.1e-04
  22600      1.96e+00      7.91e-02      6.88e-02    8.1e-04
  22700      2.44e+00      3.22e-02      8.56e-02    8.1e-04
  22800      1.73e+00      7.38e-02      6.06e-02    8.1e-04
  22900      1.67e+00      4.17e-02      5.87e-02    8.1e-04
  23000      1.59e+00      3.31e-02      5.57e-02    8.1e-04
  23100      1.58e+00      6.86e-02      5.56e-02    8.1e-04
  23200      1.95e+00      6.27e-02      6.83e-02    8.1e-04
  23300      1.95e+00      3.77e-02      6.84e-02    8.1e-04
  23400      1.91e+00      3.49e-02      6.70e-02    8.1e-04
  23500      1.04e+00      2.64e-02      3.66e-02    8.1e-04
  23600      2.41e+00      3.78e-02      8.46e-02    8.1e-04
  23700      1.99e+00      5.76e-02      6.98e-02    8.1e-04
  23800      1.42e+00      4.31e-02      4.98e-02    8.1e-04
  23900      1.84e+00      2.59e-02      6.47e-02    8.1e-04
  24000      2.16e+00      1.20e-01      7.56e-02    8.1e-04
  24100      2.34e+00      4.19e-02      8.22e-02    8.1e-04
  24200      2.25e+00      4.88e-02      7.91e-02    8.1e-04
  24300      2.09e+00      3.43e-02      7.33e-02    8.1e-04
  24400      1.81e+00      3.24e-02      6.36e-02    8.1e-04
  24500      2.68e+00      3.13e-02      9.40e-02    8.1e-04
  24600      2.50e+00      1.01e-01      8.75e-02    8.1e-04
  24700      1.87e+00      5.67e-02      6.56e-02    8.1e-04
  24800      2.45e+00      1.94e-02      8.60e-02    8.1e-04
  24900      2.94e+00      4.88e-02      1.03e-01    8.1e-04
  25000      2.11e+00      4.19e-02      7.59e-02    7.7e-04
  25100      2.01e+00      3.31e-02      7.22e-02    7.7e-04
  25200      1.99e+00      5.06e-02      7.17e-02    7.7e-04
  25300      2.15e+00      3.74e-02      7.75e-02    7.7e-04
  25400      2.34e+00      5.33e-02      8.42e-02    7.7e-04
  25500      2.24e+00      2.84e-02      8.06e-02    7.7e-04
  25600      1.94e+00      2.31e-02      6.97e-02    7.7e-04
  25700      1.96e+00      5.29e-02      7.07e-02    7.7e-04
  25800      2.08e+00      2.98e-02      7.50e-02    7.7e-04
  25900      2.27e+00      3.89e-02      8.17e-02    7.7e-04
  26000      1.69e+00      4.14e-02      6.09e-02    7.7e-04
  26100      1.96e+00      3.35e-02      7.07e-02    7.7e-04
  26200      1.82e+00      6.23e-02      6.56e-02    7.7e-04
  26300      2.13e+00      3.90e-02      7.66e-02    7.7e-04
  26400      1.81e+00      2.81e-02      6.53e-02    7.7e-04
  26500      2.35e+00      2.88e-02      8.48e-02    7.7e-04
  26600      1.65e+00      1.21e-02      5.94e-02    7.7e-04
  26700      2.17e+00      4.07e-02      7.82e-02    7.7e-04
  26800      1.78e+00      4.46e-02      6.39e-02    7.7e-04
  26900      1.72e+00      3.58e-02      6.18e-02    7.7e-04
  27000      2.14e+00      3.43e-02      7.72e-02    7.7e-04
  27100      2.33e+00      5.36e-02      8.39e-02    7.7e-04
  27200      1.89e+00      5.75e-02      6.81e-02    7.7e-04
  27300      1.77e+00      2.99e-02      6.38e-02    7.7e-04
  27400      2.06e+00      4.60e-02      7.42e-02    7.7e-04
  27500      2.19e+00      6.18e-02      7.89e-02    7.7e-04
  27600      1.81e+00      2.07e-02      6.52e-02    7.7e-04
  27700      1.95e+00      2.60e-02      7.04e-02    7.7e-04
  27800      2.46e+00      4.74e-02      8.87e-02    7.7e-04
  27900      1.67e+00      3.29e-02      6.01e-02    7.7e-04
  28000      1.47e+00      5.58e-02      5.31e-02    7.7e-04
  28100      1.80e+00      2.49e-02      6.49e-02    7.7e-04
  28200      1.89e+00      4.40e-02      6.80e-02    7.7e-04
  28300      2.57e+00      4.68e-02      9.26e-02    7.7e-04
  28400      1.95e+00      3.19e-02      7.03e-02    7.7e-04
  28500      2.90e+00      3.30e-02      1.05e-01    7.7e-04
  28600      1.99e+00      3.55e-02      7.18e-02    7.7e-04
  28700      1.41e+00      4.52e-02      5.07e-02    7.7e-04
  28800      1.85e+00      4.52e-02      6.65e-02    7.7e-04
  28900      1.92e+00      2.87e-02      6.90e-02    7.7e-04
  29000      1.33e+00      2.69e-02      4.81e-02    7.7e-04
  29100      1.72e+00      7.41e-02      6.19e-02    7.7e-04
  29200      2.45e+00      3.32e-02      8.83e-02    7.7e-04
  29300      2.81e+00      5.71e-02      1.01e-01    7.7e-04
  29400      2.27e+00      5.67e-02      8.16e-02    7.7e-04
  29500      2.06e+00      2.94e-02      7.43e-02    7.7e-04
  29600      2.39e+00      5.45e-02      8.59e-02    7.7e-04
  29700      2.38e+00      4.49e-02      8.58e-02    7.7e-04
  29800      2.31e+00      5.62e-02      8.32e-02    7.7e-04
  29900      2.59e+00      4.79e-02      9.33e-02    7.7e-04
  30000      1.91e+00      3.92e-02      7.06e-02    7.3e-04
  30100      2.06e+00      3.64e-02      7.61e-02    7.3e-04
  30200      1.49e+00      2.98e-02      5.50e-02    7.3e-04
  30300      1.73e+00      3.24e-02      6.39e-02    7.3e-04
  30400      1.58e+00      3.73e-02      5.83e-02    7.3e-04
  30500      1.19e+00      3.16e-02      4.40e-02    7.3e-04
  30600      1.98e+00      5.59e-02      7.32e-02    7.3e-04
  30700      1.74e+00      3.64e-02      6.43e-02    7.3e-04
  30800      2.02e+00      4.56e-02      7.46e-02    7.3e-04
  30900      1.10e+00      3.62e-02      4.08e-02    7.3e-04
