#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
      0      7.51e+00      1.57e+00      2.37e-01    1.0e-03
    100      4.44e+00      1.27e+00      1.40e-01    1.0e-03
    200      3.82e+00      1.14e+00      1.20e-01    1.0e-03
    300      3.84e+00      7.19e-01      1.21e-01    1.0e-03
    400      2.76e+00      4.48e-01      8.71e-02    1.0e-03
    500      2.23e+00      2.77e-01      7.05e-02    1.0e-03
    600      2.56e+00      1.30e-01      8.09e-02    1.0e-03
    700      2.20e+00      1.29e-01      6.94e-02    1.0e-03
    800      2.45e+00      5.11e-02      7.76e-02    1.0e-03
    900      2.01e+00      8.75e-02      6.37e-02    1.0e-03
   1000      2.56e+00      4.05e-02      8.09e-02    1.0e-03
   1100      1.98e+00      3.74e-02      6.27e-02    1.0e-03
   1200      2.57e+00      5.53e-02      8.13e-02    1.0e-03
   1300      1.75e+00      3.61e-02      5.52e-02    1.0e-03
   1400      2.32e+00      4.73e-02      7.34e-02    1.0e-03
   1500      2.49e+00      3.24e-02      7.87e-02    1.0e-03
   1600      2.81e+00      4.49e-02      8.87e-02    1.0e-03
   1700      2.25e+00      3.68e-02      7.10e-02    1.0e-03
   1800      2.27e+00      1.06e-01      7.18e-02    1.0e-03
   1900      2.60e+00      1.16e-01      8.21e-02    1.0e-03
   2000      2.54e+00      2.31e-02      8.04e-02    1.0e-03
   2100      2.46e+00      7.34e-02      7.77e-02    1.0e-03
   2200      1.86e+00      3.71e-02      5.87e-02    1.0e-03
   2300      2.28e+00      5.45e-02      7.19e-02    1.0e-03
   2400      2.14e+00      3.51e-02      6.78e-02    1.0e-03
   2500      1.92e+00      1.95e-02      6.08e-02    1.0e-03
   2600      2.36e+00      5.69e-02      7.45e-02    1.0e-03
   2700      2.37e+00      5.94e-02      7.49e-02    1.0e-03
   2800      2.62e+00      3.21e-02      8.28e-02    1.0e-03
   2900      2.52e+00      6.72e-02      7.95e-02    1.0e-03
   3000      1.90e+00      4.86e-02      6.01e-02    1.0e-03
   3100      2.53e+00      4.52e-02      7.99e-02    1.0e-03
   3200      2.87e+00      7.06e-02      9.08e-02    1.0e-03
   3300      2.58e+00      6.17e-02      8.15e-02    1.0e-03
   3400      2.37e+00      2.32e-02      7.48e-02    1.0e-03
   3500      2.49e+00      4.76e-02      7.88e-02    1.0e-03
   3600      2.14e+00      1.68e-02      6.76e-02    1.0e-03
   3700      2.28e+00      2.29e-02      7.22e-02    1.0e-03
   3800      2.51e+00      1.68e-02      7.94e-02    1.0e-03
   3900      3.01e+00      5.66e-02      9.51e-02    1.0e-03
   4000      2.62e+00      5.61e-02      8.28e-02    1.0e-03
   4100      1.94e+00      3.59e-02      6.13e-02    1.0e-03
   4200      1.96e+00      6.48e-02      6.20e-02    1.0e-03
   4300      2.04e+00      8.63e-02      6.46e-02    1.0e-03
   4400      1.76e+00      3.61e-02      5.56e-02    1.0e-03
   4500      1.79e+00      3.54e-02      5.65e-02    1.0e-03
   4600      1.67e+00      3.25e-02      5.28e-02    1.0e-03
   4700      2.53e+00      2.16e-02      7.99e-02    1.0e-03
   4800      2.69e+00      5.56e-02      8.51e-02    1.0e-03
   4900      1.70e+00      2.53e-02      5.39e-02    1.0e-03
   5000      1.78e+00      1.99e-02      5.77e-02    9.5e-04
   5100      1.85e+00      2.27e-02      5.99e-02    9.5e-04
   5200      2.40e+00      3.85e-02      7.78e-02    9.5e-04
   5300      2.00e+00      1.61e-02      6.48e-02    9.5e-04
   5400      2.22e+00      1.78e-02      7.21e-02    9.5e-04
   5500      2.14e+00      3.74e-02      6.96e-02    9.5e-04
   5600      1.64e+00      1.23e-02      5.33e-02    9.5e-04
   5700      1.82e+00      3.93e-02      5.90e-02    9.5e-04
   5800      2.01e+00      1.60e-02      6.51e-02    9.5e-04
   5900      2.44e+00      3.25e-02      7.93e-02    9.5e-04
   6000      2.67e+00      5.41e-02      8.67e-02    9.5e-04
   6100      1.57e+00      4.15e-02      5.11e-02    9.5e-04
   6200      1.88e+00      4.95e-02      6.09e-02    9.5e-04
   6300      1.74e+00      1.89e-02      5.65e-02    9.5e-04
   6400      1.86e+00      1.89e-02      6.04e-02    9.5e-04
   6500      1.61e+00      2.43e-02      5.24e-02    9.5e-04
   6600      1.85e+00      3.96e-02      6.00e-02    9.5e-04
   6700      1.90e+00      1.94e-02      6.17e-02    9.5e-04
   6800      2.22e+00      2.99e-02      7.20e-02    9.5e-04
   6900      1.93e+00      8.84e-02      6.25e-02    9.5e-04
   7000      2.06e+00      2.71e-02      6.68e-02    9.5e-04
   7100      2.07e+00      3.22e-02      6.72e-02    9.5e-04
   7200      1.85e+00      3.14e-02      6.00e-02    9.5e-04
   7300      1.51e+00      1.71e-02      4.89e-02    9.5e-04
   7400      1.84e+00      2.00e-02      5.97e-02    9.5e-04
   7500      2.10e+00      3.03e-02      6.81e-02    9.5e-04
   7600      1.82e+00      3.92e-02      5.91e-02    9.5e-04
   7700      1.85e+00      3.14e-02      6.02e-02    9.5e-04
   7800      1.84e+00      3.25e-02      5.99e-02    9.5e-04
   7900      2.28e+00      2.91e-02      7.40e-02    9.5e-04
   8000      1.77e+00      3.75e-02      5.75e-02    9.5e-04
   8100      2.02e+00      2.37e-02      6.56e-02    9.5e-04
   8200      2.86e+00      4.08e-02      9.28e-02    9.5e-04
   8300      2.05e+00      2.53e-02      6.66e-02    9.5e-04
   8400      1.80e+00      3.05e-02      5.83e-02    9.5e-04
   8500      1.69e+00      3.83e-02      5.47e-02    9.5e-04
   8600      1.38e+00      3.53e-02      4.48e-02    9.5e-04
   8700      1.69e+00      1.55e-02      5.48e-02    9.5e-04
   8800      2.33e+00      1.39e-02      7.57e-02    9.5e-04
   8900      2.14e+00      3.39e-02      6.95e-02    9.5e-04
   9000      2.12e+00      1.51e-02      6.87e-02    9.5e-04
   9100      2.07e+00      8.52e-02      6.72e-02    9.5e-04
   9200      2.23e+00      3.32e-02      7.22e-02    9.5e-04
   9300      1.50e+00      5.50e-02      4.87e-02    9.5e-04
   9400      1.94e+00      5.28e-02      6.31e-02    9.5e-04
   9500      2.84e+00      8.00e-02      9.20e-02    9.5e-04
   9600      2.27e+00      5.27e-02      7.36e-02    9.5e-04
   9700      1.60e+00      2.41e-02      5.20e-02    9.5e-04
   9800      2.05e+00      2.34e-02      6.65e-02    9.5e-04
   9900      1.83e+00      6.90e-02      5.95e-02    9.5e-04
  10000      2.09e+00      3.79e-02      6.96e-02    9.0e-04
  10100      1.78e+00      2.27e-02      5.92e-02    9.0e-04
  10200      1.95e+00      6.48e-02      6.50e-02    9.0e-04
  10300      1.83e+00      1.87e-02      6.10e-02    9.0e-04
  10400      1.81e+00      2.19e-02      6.03e-02    9.0e-04
  10500      2.11e+00      2.23e-02      7.04e-02    9.0e-04
  10600      1.31e+00      2.23e-02      4.36e-02    9.0e-04
  10700      1.68e+00      2.56e-02      5.59e-02    9.0e-04
  10800      2.28e+00      2.15e-02      7.59e-02    9.0e-04
  10900      1.86e+00      3.41e-02      6.21e-02    9.0e-04
  11000      1.86e+00      5.58e-02      6.19e-02    9.0e-04
  11100      2.37e+00      2.70e-02      7.90e-02    9.0e-04
  11200      1.50e+00      6.29e-02      4.98e-02    9.0e-04
  11300      1.76e+00      1.47e-02      5.87e-02    9.0e-04
  11400      1.10e+00      9.52e-02      3.65e-02    9.0e-04
  11500      1.74e+00      1.39e-02      5.80e-02    9.0e-04
  11600      1.93e+00      3.42e-02      6.41e-02    9.0e-04
  11700      2.62e+00      2.87e-02      8.73e-02    9.0e-04
  11800      1.99e+00      2.16e-02      6.62e-02    9.0e-04
  11900      1.96e+00      3.00e-02      6.53e-02    9.0e-04
  12000      1.93e+00      1.18e-02      6.43e-02    9.0e-04
  12100      1.63e+00      2.97e-02      5.44e-02    9.0e-04
  12200      1.47e+00      1.05e-02      4.90e-02    9.0e-04
  12300      1.95e+00      5.68e-02      6.49e-02    9.0e-04
  12400      1.85e+00      1.60e-02      6.16e-02    9.0e-04
  12500      2.27e+00      1.76e-02      7.57e-02    9.0e-04
  12600      1.70e+00      4.11e-02      5.66e-02    9.0e-04
  12700      1.09e+00      5.69e-02      3.62e-02    9.0e-04
  12800      1.91e+00      3.74e-02      6.35e-02    9.0e-04
  12900      1.77e+00      8.29e-03      5.89e-02    9.0e-04
  13000      1.94e+00      8.02e-02      6.47e-02    9.0e-04
  13100      2.26e+00      8.18e-02      7.52e-02    9.0e-04
  13200      1.69e+00      8.12e-02      5.63e-02    9.0e-04
  13300      1.47e+00      4.68e-03      4.90e-02    9.0e-04
  13400      1.30e+00      3.00e-02      4.32e-02    9.0e-04
  13500      2.08e+00      3.42e-02      6.94e-02    9.0e-04
  13600      1.76e+00      1.12e-02      5.86e-02    9.0e-04
  13700      1.53e+00      2.54e-02      5.09e-02    9.0e-04
  13800      1.73e+00      3.05e-02      5.75e-02    9.0e-04
  13900      1.58e+00      3.97e-02      5.26e-02    9.0e-04
  14000      2.04e+00      3.26e-02      6.80e-02    9.0e-04
  14100      2.22e+00      4.92e-02      7.41e-02    9.0e-04
  14200      2.26e+00      1.87e-02      7.53e-02    9.0e-04
  14300      1.41e+00      1.96e-02      4.69e-02    9.0e-04
  14400      2.12e+00      2.20e-02      7.08e-02    9.0e-04
  14500      2.06e+00      1.14e-02      6.86e-02    9.0e-04
  14600      2.36e+00      3.42e-02      7.85e-02    9.0e-04
  14700      2.00e+00      7.32e-02      6.65e-02    9.0e-04
  14800      1.34e+00      8.25e-03      4.47e-02    9.0e-04
  14900      2.69e+00      2.80e-02      8.96e-02    9.0e-04
  15000      1.82e+00      1.91e-02      6.22e-02    8.6e-04
  15100      1.94e+00      6.32e-02      6.63e-02    8.6e-04
  15200      1.89e+00      1.63e-02      6.45e-02    8.6e-04
  15300      1.65e+00      4.22e-02      5.63e-02    8.6e-04
  15400      1.53e+00      5.77e-02      5.23e-02    8.6e-04
  15500      1.69e+00      2.85e-02      5.77e-02    8.6e-04
  15600      1.64e+00      3.10e-02      5.61e-02    8.6e-04
  15700      1.68e+00      3.93e-02      5.73e-02    8.6e-04
  15800      1.35e+00      5.30e-02      4.61e-02    8.6e-04
  15900      1.71e+00      1.67e-02      5.86e-02    8.6e-04
  16000      1.66e+00      2.92e-02      5.66e-02    8.6e-04
  16100      1.73e+00      1.39e-01      5.90e-02    8.6e-04
  16200      1.88e+00      1.27e-01      6.39e-02    8.6e-04
  16300      1.61e+00      1.46e-02      5.50e-02    8.6e-04
  16400      1.27e+00      3.37e-02      4.35e-02    8.6e-04
  16500      1.46e+00      1.12e-02      5.01e-02    8.6e-04
  16600      1.54e+00      6.85e-02      5.26e-02    8.6e-04
  16700      1.33e+00      9.32e-03      4.53e-02    8.6e-04
  16800      1.82e+00      2.81e-02      6.21e-02    8.6e-04
  16900      2.12e+00      4.23e-02      7.23e-02    8.6e-04
  17000      1.84e+00      1.87e-02      6.30e-02    8.6e-04
  17100      1.87e+00      1.56e-02      6.39e-02    8.6e-04
  17200      1.44e+00      1.88e-02      4.92e-02    8.6e-04
  17300      2.21e+00      2.44e-02      7.56e-02    8.6e-04
  17400      1.75e+00      3.11e-02      5.97e-02    8.6e-04
  17500      2.25e+00      2.95e-02      7.69e-02    8.6e-04
  17600      1.98e+00      4.48e-02      6.77e-02    8.6e-04
  17700      1.82e+00      3.13e-02      6.21e-02    8.6e-04
  17800      1.51e+00      2.01e-02      5.15e-02    8.6e-04
  17900      1.68e+00      8.92e-02      5.73e-02    8.6e-04
  18000      1.74e+00      1.87e-02      5.96e-02    8.6e-04
  18100      1.44e+00      1.84e-02      4.93e-02    8.6e-04
  18200      1.82e+00      4.90e-02      6.23e-02    8.6e-04
  18300      1.67e+00      5.61e-02      5.71e-02    8.6e-04
  18400      1.41e+00      4.37e-02      4.80e-02    8.6e-04
  18500      2.23e+00      2.49e-02      7.63e-02    8.6e-04
  18600      1.33e+00      2.39e-02      4.54e-02    8.6e-04
