#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
      0      1.61e+01      1.17e+00      5.08e-01    1.0e-03
    100      2.84e+00      7.24e-01      8.93e-02    1.0e-03
    200      3.60e+00      2.35e-01      1.14e-01    1.0e-03
    300      3.59e+00      5.35e-02      1.14e-01    1.0e-03
    400      3.32e+00      7.87e-02      1.05e-01    1.0e-03
    500      2.46e+00      8.13e-02      7.78e-02    1.0e-03
    600      2.93e+00      7.57e-02      9.27e-02    1.0e-03
    700      2.68e+00      7.08e-02      8.48e-02    1.0e-03
    800      2.55e+00      2.07e-02      8.08e-02    1.0e-03
    900      2.69e+00      4.43e-02      8.51e-02    1.0e-03
   1000      2.48e+00      4.48e-02      7.84e-02    1.0e-03
   1100      3.37e+00      8.39e-02      1.07e-01    1.0e-03
   1200      1.80e+00      9.19e-02      5.69e-02    1.0e-03
   1300      2.73e+00      2.04e-02      8.64e-02    1.0e-03
   1400      2.22e+00      3.60e-02      7.01e-02    1.0e-03
   1500      3.03e+00      4.12e-02      9.58e-02    1.0e-03
   1600      2.85e+00      2.59e-02      9.01e-02    1.0e-03
   1700      2.51e+00      2.10e-02      7.92e-02    1.0e-03
   1800      2.95e+00      3.60e-02      9.32e-02    1.0e-03
   1900      2.68e+00      3.15e-02      8.48e-02    1.0e-03
   2000      2.23e+00      3.48e-02      7.07e-02    1.0e-03
   2100      2.30e+00      4.45e-02      7.29e-02    1.0e-03
   2200      2.11e+00      1.73e-02      6.66e-02    1.0e-03
   2300      1.90e+00      6.29e-02      6.02e-02    1.0e-03
   2400      2.22e+00      6.08e-02      7.03e-02    1.0e-03
   2500      3.16e+00      6.08e-02      1.00e-01    1.0e-03
   2600      1.98e+00      4.13e-02      6.25e-02    1.0e-03
   2700      2.60e+00      6.39e-02      8.22e-02    1.0e-03
   2800      2.83e+00      4.43e-02      8.95e-02    1.0e-03
   2900      2.21e+00      3.78e-02      6.98e-02    1.0e-03
   3000      2.14e+00      3.25e-02      6.75e-02    1.0e-03
   3100      1.99e+00      5.26e-02      6.28e-02    1.0e-03
   3200      1.49e+00      5.82e-02      4.70e-02    1.0e-03
   3300      2.28e+00      2.50e-02      7.23e-02    1.0e-03
   3400      1.96e+00      3.31e-02      6.19e-02    1.0e-03
   3500      1.85e+00      3.12e-02      5.85e-02    1.0e-03
   3600      2.37e+00      2.90e-02      7.49e-02    1.0e-03
   3700      2.44e+00      5.52e-02      7.71e-02    1.0e-03
   3800      2.32e+00      8.06e-02      7.32e-02    1.0e-03
   3900      2.23e+00      3.21e-02      7.06e-02    1.0e-03
   4000      2.49e+00      3.22e-02      7.86e-02    1.0e-03
   4100      2.14e+00      3.63e-02      6.78e-02    1.0e-03
   4200      2.96e+00      8.19e-02      9.36e-02    1.0e-03
   4300      2.28e+00      5.31e-02      7.20e-02    1.0e-03
   4400      2.20e+00      4.00e-02      6.96e-02    1.0e-03
   4500      2.27e+00      6.30e-02      7.16e-02    1.0e-03
   4600      2.66e+00      2.79e-02      8.40e-02    1.0e-03
   4700      1.96e+00      3.79e-02      6.19e-02    1.0e-03
   4800      1.94e+00      2.54e-02      6.14e-02    1.0e-03
   4900      2.51e+00      4.21e-02      7.92e-02    1.0e-03
   5000      1.89e+00      3.54e-02      6.12e-02    9.5e-04
   5100      1.79e+00      2.47e-02      5.81e-02    9.5e-04
   5200      2.07e+00      1.64e-02      6.73e-02    9.5e-04
   5300      2.03e+00      5.11e-02      6.59e-02    9.5e-04
   5400      2.20e+00      3.50e-02      7.13e-02    9.5e-04
   5500      2.34e+00      2.50e-02      7.58e-02    9.5e-04
   5600      2.20e+00      3.83e-02      7.13e-02    9.5e-04
   5700      2.26e+00      2.86e-02      7.35e-02    9.5e-04
   5800      2.10e+00      3.23e-02      6.83e-02    9.5e-04
   5900      2.05e+00      2.90e-02      6.66e-02    9.5e-04
   6000      2.02e+00      5.01e-02      6.56e-02    9.5e-04
   6100      1.94e+00      4.63e-02      6.28e-02    9.5e-04
   6200      1.84e+00      2.99e-02      5.96e-02    9.5e-04
   6300      1.54e+00      4.69e-02      4.99e-02    9.5e-04
   6400      1.69e+00      2.88e-02      5.48e-02    9.5e-04
   6500      2.29e+00      3.74e-02      7.43e-02    9.5e-04
   6600      1.96e+00      2.81e-02      6.35e-02    9.5e-04
   6700      2.46e+00      4.79e-02      7.99e-02    9.5e-04
   6800      1.93e+00      3.65e-02      6.28e-02    9.5e-04
   6900      2.67e+00      4.97e-02      8.66e-02    9.5e-04
   7000      1.59e+00      3.22e-02      5.15e-02    9.5e-04
   7100      2.07e+00      5.74e-02      6.72e-02    9.5e-04
   7200      1.51e+00      1.69e-02      4.90e-02    9.5e-04
   7300      2.53e+00      1.80e-02      8.20e-02    9.5e-04
   7400      2.14e+00      1.36e-02      6.95e-02    9.5e-04
   7500      2.26e+00      1.11e-02      7.34e-02    9.5e-04
   7600      1.67e+00      6.64e-02      5.41e-02    9.5e-04
   7700      1.62e+00      3.20e-02      5.27e-02    9.5e-04
   7800      2.36e+00      2.41e-02      7.64e-02    9.5e-04
   7900      2.02e+00      4.02e-02      6.55e-02    9.5e-04
   8000      2.08e+00      2.10e-02      6.77e-02    9.5e-04
   8100      2.29e+00      6.08e-02      7.43e-02    9.5e-04
   8200      2.03e+00      4.24e-02      6.59e-02    9.5e-04
   8300      2.47e+00      4.79e-02      8.01e-02    9.5e-04
   8400      2.08e+00      2.80e-02      6.75e-02    9.5e-04
   8500      2.46e+00      3.73e-02      7.99e-02    9.5e-04
   8600      1.51e+00      1.75e-02      4.89e-02    9.5e-04
   8700      1.53e+00      1.53e-02      4.98e-02    9.5e-04
   8800      1.50e+00      2.56e-02      4.88e-02    9.5e-04
   8900      1.79e+00      3.63e-02      5.82e-02    9.5e-04
   9000      2.15e+00      2.03e-02      6.96e-02    9.5e-04
   9100      2.19e+00      1.81e-02      7.11e-02    9.5e-04
   9200      1.78e+00      2.81e-02      5.76e-02    9.5e-04
   9300      2.39e+00      2.06e-02      7.76e-02    9.5e-04
   9400      1.82e+00      2.78e-02      5.89e-02    9.5e-04
   9500      2.70e+00      4.74e-02      8.75e-02    9.5e-04
   9600      1.61e+00      2.38e-02      5.22e-02    9.5e-04
   9700      1.06e+00      6.13e-02      3.44e-02    9.5e-04
   9800      2.08e+00      1.96e-02      6.75e-02    9.5e-04
   9900      2.62e+00      5.02e-02      8.49e-02    9.5e-04
  10000      1.55e+00      2.50e-02      5.16e-02    9.0e-04
  10100      1.85e+00      6.74e-02      6.17e-02    9.0e-04
  10200      2.07e+00      2.85e-02      6.89e-02    9.0e-04
  10300      1.96e+00      6.38e-02      6.53e-02    9.0e-04
  10400      1.78e+00      2.76e-02      5.92e-02    9.0e-04
  10500      2.11e+00      1.75e-02      7.04e-02    9.0e-04
  10600      2.22e+00      1.67e-02      7.41e-02    9.0e-04
  10700      1.97e+00      2.27e-02      6.56e-02    9.0e-04
  10800      1.89e+00      2.23e-02      6.30e-02    9.0e-04
  10900      1.57e+00      1.49e-02      5.25e-02    9.0e-04
  11000      2.26e+00      9.03e-03      7.52e-02    9.0e-04
  11100      1.57e+00      2.54e-02      5.23e-02    9.0e-04
  11200      9.95e-01      3.14e-02      3.31e-02    9.0e-04
  11300      1.61e+00      5.82e-02      5.37e-02    9.0e-04
  11400      1.59e+00      2.17e-02      5.31e-02    9.0e-04
  11500      1.68e+00      3.41e-02      5.59e-02    9.0e-04
  11600      1.93e+00      2.62e-02      6.44e-02    9.0e-04
  11700      1.98e+00      5.06e-02      6.58e-02    9.0e-04
  11800      2.33e+00      4.76e-02      7.77e-02    9.0e-04
  11900      2.28e+00      3.83e-02      7.61e-02    9.0e-04
  12000      1.18e+00      3.40e-02      3.91e-02    9.0e-04
  12100      1.57e+00      4.06e-02      5.23e-02    9.0e-04
  12200      1.99e+00      5.12e-02      6.64e-02    9.0e-04
  12300      2.20e+00      1.64e-02      7.34e-02    9.0e-04
  12400      1.38e+00      2.26e-02      4.59e-02    9.0e-04
  12500      1.48e+00      4.93e-02      4.91e-02    9.0e-04
  12600      2.16e+00      2.53e-02      7.19e-02    9.0e-04
  12700      2.74e+00      6.77e-02      9.12e-02    9.0e-04
  12800      1.72e+00      8.64e-02      5.74e-02    9.0e-04
  12900      2.10e+00      7.07e-02      6.99e-02    9.0e-04
  13000      2.07e+00      3.36e-02      6.90e-02    9.0e-04
  13100      2.08e+00      3.32e-02      6.93e-02    9.0e-04
  13200      1.97e+00      2.34e-02      6.57e-02    9.0e-04
  13300      1.50e+00      3.74e-02      5.01e-02    9.0e-04
  13400      1.77e+00      3.16e-02      5.91e-02    9.0e-04
  13500      2.00e+00      4.01e-02      6.65e-02    9.0e-04
  13600      1.93e+00      4.25e-02      6.42e-02    9.0e-04
  13700      2.00e+00      5.88e-02      6.65e-02    9.0e-04
  13800      2.11e+00      2.07e-02      7.01e-02    9.0e-04
  13900      2.29e+00      3.30e-02      7.64e-02    9.0e-04
  14000      1.83e+00      3.75e-02      6.10e-02    9.0e-04
  14100      1.58e+00      2.07e-02      5.25e-02    9.0e-04
  14200      1.73e+00      2.09e-02      5.75e-02    9.0e-04
  14300      2.09e+00      4.00e-02      6.95e-02    9.0e-04
  14400      2.17e+00      1.79e-02      7.22e-02    9.0e-04
  14500      1.87e+00      2.38e-02      6.24e-02    9.0e-04
  14600      2.13e+00      3.67e-02      7.09e-02    9.0e-04
  14700      1.77e+00      4.57e-02      5.91e-02    9.0e-04
  14800      2.49e+00      3.54e-02      8.31e-02    9.0e-04
  14900      2.14e+00      3.58e-02      7.12e-02    9.0e-04
  15000      1.92e+00      3.38e-02      6.56e-02    8.6e-04
  15100      1.68e+00      9.69e-03      5.74e-02    8.6e-04
  15200      2.14e+00      2.23e-02      7.31e-02    8.6e-04
  15300      1.57e+00      4.93e-02      5.37e-02    8.6e-04
  15400      1.43e+00      1.38e-02      4.87e-02    8.6e-04
  15500      1.64e+00      2.51e-02      5.60e-02    8.6e-04
  15600      1.56e+00      3.16e-02      5.32e-02    8.6e-04
  15700      2.01e+00      2.96e-02      6.88e-02    8.6e-04
  15800      2.14e+00      3.65e-02      7.33e-02    8.6e-04
  15900      2.00e+00      2.40e-02      6.82e-02    8.6e-04
  16000      1.88e+00      2.50e-02      6.41e-02    8.6e-04
  16100      1.68e+00      2.77e-02      5.74e-02    8.6e-04
  16200      2.69e+00      7.16e-02      9.21e-02    8.6e-04
  16300      1.86e+00      3.74e-02      6.37e-02    8.6e-04
  16400      1.75e+00      5.46e-02      5.97e-02    8.6e-04
  16500      1.60e+00      1.65e-02      5.47e-02    8.6e-04
  16600      2.10e+00      2.02e-02      7.17e-02    8.6e-04
  16700      2.08e+00      1.77e-02      7.11e-02    8.6e-04
  16800      1.42e+00      1.50e-02      4.87e-02    8.6e-04
  16900      1.21e+00      2.34e-02      4.14e-02    8.6e-04
  17000      1.96e+00      3.37e-02      6.70e-02    8.6e-04
  17100      1.76e+00      2.75e-02      6.02e-02    8.6e-04
  17200      1.68e+00      2.99e-02      5.74e-02    8.6e-04
  17300      1.66e+00      2.13e-02      5.69e-02    8.6e-04
  17400      2.44e+00      2.79e-02      8.35e-02    8.6e-04
  17500      1.74e+00      3.99e-02      5.95e-02    8.6e-04
  17600      1.86e+00      3.02e-02      6.34e-02    8.6e-04
  17700      2.11e+00      1.85e-02      7.23e-02    8.6e-04
  17800      1.55e+00      2.40e-02      5.29e-02    8.6e-04
  17900      1.75e+00      1.75e-02      5.97e-02    8.6e-04
  18000      1.62e+00      1.66e-02      5.55e-02    8.6e-04
  18100      1.15e+00      4.39e-02      3.94e-02    8.6e-04
  18200      1.55e+00      2.30e-02      5.31e-02    8.6e-04
  18300      1.45e+00      1.10e-02      4.95e-02    8.6e-04
  18400      1.73e+00      2.35e-02      5.92e-02    8.6e-04
  18500      1.87e+00      3.88e-02      6.38e-02    8.6e-04
  18600      1.88e+00      2.88e-02      6.44e-02    8.6e-04
  18700      1.60e+00      1.81e-02      5.48e-02    8.6e-04
  18800      1.57e+00      1.22e-02      5.38e-02    8.6e-04
  18900      1.85e+00      4.94e-02      6.31e-02    8.6e-04
  19000      1.71e+00      4.24e-02      5.83e-02    8.6e-04
  19100      1.65e+00      3.55e-02      5.64e-02    8.6e-04
  19200      2.02e+00      4.74e-02      6.92e-02    8.6e-04
  19300      2.18e+00      2.56e-02      7.46e-02    8.6e-04
  19400      2.26e+00      3.98e-02      7.72e-02    8.6e-04
  19500      1.04e+00      1.12e-02      3.57e-02    8.6e-04
  19600      1.91e+00      2.09e-02      6.53e-02    8.6e-04
  19700      1.61e+00      5.01e-02      5.50e-02    8.6e-04
  19800      1.87e+00      2.08e-02      6.38e-02    8.6e-04
  19900      1.57e+00      1.89e-02      5.38e-02    8.6e-04
  20000      1.71e+00      3.72e-02      6.01e-02    8.1e-04
  20100      1.97e+00      2.08e-02      6.91e-02    8.1e-04
  20200      1.45e+00      1.86e-02      5.08e-02    8.1e-04
  20300      2.18e+00      3.55e-02      7.64e-02    8.1e-04
  20400      1.52e+00      2.07e-02      5.33e-02    8.1e-04
  20500      2.04e+00      2.46e-02      7.16e-02    8.1e-04
  20600      1.85e+00      2.60e-02      6.51e-02    8.1e-04
  20700      1.55e+00      3.41e-02      5.43e-02    8.1e-04
  20800      1.63e+00      1.99e-02      5.73e-02    8.1e-04
  20900      1.53e+00      1.20e-02      5.39e-02    8.1e-04
  21000      1.31e+00      3.79e-02      4.60e-02    8.1e-04
  21100      2.55e+00      2.78e-02      8.94e-02    8.1e-04
  21200      1.73e+00      1.86e-02      6.07e-02    8.1e-04
  21300      2.39e+00      4.23e-02      8.40e-02    8.1e-04
  21400      1.74e+00      1.80e-02      6.12e-02    8.1e-04
  21500      2.16e+00      2.98e-02      7.57e-02    8.1e-04
  21600      1.71e+00      1.44e-02      5.99e-02    8.1e-04
  21700      1.83e+00      1.42e-02      6.43e-02    8.1e-04
  21800      1.59e+00      2.63e-02      5.58e-02    8.1e-04
  21900      1.95e+00      3.44e-02      6.83e-02    8.1e-04
  22000      1.72e+00      1.21e-02      6.03e-02    8.1e-04
  22100      1.27e+00      1.27e-02      4.47e-02    8.1e-04
  22200      1.48e+00      1.37e-02      5.18e-02    8.1e-04
  22300      2.02e+00      1.94e-02      7.09e-02    8.1e-04
  22400      1.61e+00      1.37e-02      5.66e-02    8.1e-04
  22500      1.35e+00      2.23e-02      4.73e-02    8.1e-04
  22600      1.77e+00      1.89e-02      6.22e-02    8.1e-04
  22700      2.01e+00      1.62e-02      7.06e-02    8.1e-04
  22800      1.65e+00      1.20e-02      5.78e-02    8.1e-04
  22900      1.61e+00      2.80e-02      5.65e-02    8.1e-04
  23000      1.50e+00      1.38e-02      5.26e-02    8.1e-04
  23100      1.45e+00      1.94e-02      5.07e-02    8.1e-04
  23200      1.07e+00      2.52e-02      3.76e-02    8.1e-04
  23300      1.31e+00      1.83e-02      4.61e-02    8.1e-04
  23400      2.08e+00      5.31e-03      7.29e-02    8.1e-04
  23500      1.47e+00      1.37e-02      5.15e-02    8.1e-04
  23600      1.86e+00      1.56e-02      6.51e-02    8.1e-04
  23700      1.87e+00      2.07e-02      6.56e-02    8.1e-04
  23800      1.41e+00      1.29e-02      4.95e-02    8.1e-04
  23900      1.90e+00      2.53e-02      6.67e-02    8.1e-04
  24000      2.03e+00      2.20e-02      7.13e-02    8.1e-04
  24100      1.64e+00      2.56e-02      5.74e-02    8.1e-04
  24200      1.31e+00      1.88e-02      4.58e-02    8.1e-04
  24300      1.94e+00      4.96e-02      6.82e-02    8.1e-04
  24400      2.05e+00      1.53e-02      7.19e-02    8.1e-04
  24500      1.53e+00      2.46e-02      5.35e-02    8.1e-04
  24600      8.43e-01      5.42e-02      2.95e-02    8.1e-04
  24700      1.63e+00      2.55e-02      5.70e-02    8.1e-04
  24800      2.15e+00      2.85e-02      7.53e-02    8.1e-04
  24900      1.60e+00      3.81e-02      5.61e-02    8.1e-04
  25000      1.71e+00      1.68e-02      6.15e-02    7.7e-04
  25100      1.91e+00      2.29e-02      6.88e-02    7.7e-04
