#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
      0      1.50e+01      6.75e-01      4.75e-01    1.0e-03
    100      3.35e+00      7.40e-01      1.06e-01    1.0e-03
    200      1.89e+00      6.78e-01      5.91e-02    1.0e-03
    300      2.81e+00      3.74e-01      8.89e-02    1.0e-03
    400      2.71e+00      1.25e-01      8.56e-02    1.0e-03
    500      2.52e+00      5.24e-02      7.98e-02    1.0e-03
    600      2.57e+00      3.84e-02      8.14e-02    1.0e-03
    700      2.37e+00      3.64e-02      7.48e-02    1.0e-03
    800      2.29e+00      5.72e-02      7.24e-02    1.0e-03
    900      1.77e+00      4.92e-02      5.60e-02    1.0e-03
   1000      2.45e+00      1.42e-01      7.74e-02    1.0e-03
   1100      2.69e+00      6.37e-02      8.51e-02    1.0e-03
   1200      1.70e+00      7.38e-02      5.37e-02    1.0e-03
   1300      1.74e+00      6.31e-02      5.50e-02    1.0e-03
   1400      2.38e+00      4.58e-02      7.52e-02    1.0e-03
   1500      1.90e+00      4.35e-02      5.99e-02    1.0e-03
   1600      2.57e+00      3.20e-02      8.14e-02    1.0e-03
   1700      2.37e+00      5.19e-02      7.49e-02    1.0e-03
   1800      1.89e+00      3.76e-02      5.98e-02    1.0e-03
   1900      2.16e+00      4.09e-02      6.82e-02    1.0e-03
   2000      2.35e+00      7.38e-02      7.42e-02    1.0e-03
   2100      1.93e+00      4.56e-02      6.10e-02    1.0e-03
   2200      2.13e+00      4.31e-02      6.74e-02    1.0e-03
   2300      1.92e+00      4.17e-02      6.07e-02    1.0e-03
   2400      2.89e+00      3.43e-02      9.15e-02    1.0e-03
   2500      2.35e+00      2.85e-02      7.43e-02    1.0e-03
   2600      2.40e+00      4.38e-02      7.59e-02    1.0e-03
   2700      1.87e+00      3.04e-02      5.92e-02    1.0e-03
   2800      2.28e+00      2.77e-02      7.21e-02    1.0e-03
   2900      2.19e+00      2.71e-02      6.91e-02    1.0e-03
   3000      1.70e+00      1.95e-02      5.38e-02    1.0e-03
   3100      1.99e+00      4.51e-02      6.28e-02    1.0e-03
   3200      2.22e+00      3.47e-02      7.02e-02    1.0e-03
   3300      2.16e+00      3.57e-02      6.84e-02    1.0e-03
   3400      2.65e+00      1.61e-02      8.39e-02    1.0e-03
   3500      1.99e+00      3.07e-02      6.28e-02    1.0e-03
   3600      1.85e+00      4.15e-02      5.85e-02    1.0e-03
   3700      2.35e+00      4.62e-02      7.43e-02    1.0e-03
   3800      2.16e+00      1.94e-02      6.82e-02    1.0e-03
   3900      2.75e+00      4.00e-02      8.70e-02    1.0e-03
   4000      2.20e+00      2.29e-02      6.95e-02    1.0e-03
   4100      1.95e+00      2.78e-02      6.18e-02    1.0e-03
   4200      2.03e+00      3.52e-02      6.42e-02    1.0e-03
   4300      2.09e+00      3.51e-02      6.60e-02    1.0e-03
   4400      2.15e+00      4.65e-02      6.79e-02    1.0e-03
   4500      2.20e+00      4.33e-02      6.97e-02    1.0e-03
   4600      2.86e+00      2.74e-02      9.05e-02    1.0e-03
   4700      1.71e+00      5.24e-02      5.40e-02    1.0e-03
   4800      1.86e+00      6.95e-02      5.87e-02    1.0e-03
   4900      1.79e+00      3.88e-02      5.67e-02    1.0e-03
   5000      1.77e+00      5.25e-02      5.75e-02    9.5e-04
   5100      2.38e+00      7.53e-02      7.74e-02    9.5e-04
   5200      2.40e+00      2.81e-02      7.80e-02    9.5e-04
   5300      1.94e+00      2.33e-02      6.29e-02    9.5e-04
   5400      2.18e+00      1.75e-02      7.09e-02    9.5e-04
   5500      1.70e+00      3.44e-02      5.51e-02    9.5e-04
   5600      1.45e+00      2.72e-02      4.71e-02    9.5e-04
   5700      1.48e+00      2.14e-02      4.80e-02    9.5e-04
   5800      2.27e+00      3.86e-02      7.37e-02    9.5e-04
   5900      1.69e+00      7.32e-02      5.48e-02    9.5e-04
   6000      1.70e+00      3.86e-02      5.52e-02    9.5e-04
   6100      2.33e+00      3.67e-02      7.57e-02    9.5e-04
   6200      1.97e+00      5.17e-02      6.39e-02    9.5e-04
   6300      1.71e+00      6.23e-02      5.55e-02    9.5e-04
   6400      1.87e+00      8.91e-02      6.08e-02    9.5e-04
   6500      1.87e+00      2.47e-02      6.08e-02    9.5e-04
   6600      2.34e+00      2.85e-02      7.60e-02    9.5e-04
   6700      2.02e+00      8.83e-02      6.56e-02    9.5e-04
   6800      1.91e+00      4.83e-02      6.21e-02    9.5e-04
   6900      1.83e+00      1.46e-02      5.94e-02    9.5e-04
   7000      2.19e+00      5.22e-02      7.10e-02    9.5e-04
   7100      2.37e+00      2.89e-02      7.69e-02    9.5e-04
   7200      1.60e+00      6.48e-02      5.19e-02    9.5e-04
   7300      2.27e+00      2.59e-02      7.36e-02    9.5e-04
   7400      1.87e+00      1.16e-02      6.08e-02    9.5e-04
   7500      1.91e+00      2.57e-02      6.19e-02    9.5e-04
   7600      2.22e+00      2.05e-02      7.20e-02    9.5e-04
   7700      2.13e+00      2.39e-02      6.90e-02    9.5e-04
   7800      2.55e+00      2.63e-02      8.29e-02    9.5e-04
   7900      1.44e+00      1.01e-02      4.68e-02    9.5e-04
   8000      2.04e+00      2.62e-02      6.62e-02    9.5e-04
   8100      2.05e+00      5.35e-02      6.65e-02    9.5e-04
   8200      1.52e+00      2.91e-02      4.92e-02    9.5e-04
   8300      2.31e+00      7.54e-02      7.48e-02    9.5e-04
   8400      2.44e+00      3.90e-02      7.92e-02    9.5e-04
   8500      1.56e+00      6.20e-02      5.07e-02    9.5e-04
   8600      2.18e+00      3.35e-02      7.07e-02    9.5e-04
   8700      1.91e+00      5.39e-02      6.19e-02    9.5e-04
   8800      2.43e+00      1.98e-02      7.90e-02    9.5e-04
   8900      2.30e+00      1.38e-02      7.46e-02    9.5e-04
   9000      1.75e+00      3.59e-02      5.66e-02    9.5e-04
   9100      2.44e+00      3.84e-02      7.92e-02    9.5e-04
   9200      1.87e+00      2.81e-02      6.05e-02    9.5e-04
   9300      2.12e+00      4.35e-02      6.88e-02    9.5e-04
   9400      2.27e+00      3.12e-02      7.36e-02    9.5e-04
   9500      1.37e+00      4.58e-02      4.43e-02    9.5e-04
   9600      1.69e+00      5.38e-02      5.49e-02    9.5e-04
   9700      2.05e+00      2.38e-02      6.65e-02    9.5e-04
   9800      1.96e+00      3.31e-02      6.35e-02    9.5e-04
   9900      1.61e+00      1.89e-02      5.24e-02    9.5e-04
  10000      1.79e+00      6.94e-02      5.96e-02    9.0e-04
  10100      1.99e+00      5.42e-02      6.63e-02    9.0e-04
  10200      1.49e+00      2.19e-02      4.97e-02    9.0e-04
  10300      1.74e+00      4.80e-02      5.80e-02    9.0e-04
  10400      1.52e+00      4.03e-03      5.05e-02    9.0e-04
  10500      1.94e+00      2.80e-02      6.47e-02    9.0e-04
  10600      1.76e+00      3.81e-02      5.88e-02    9.0e-04
  10700      1.85e+00      2.40e-02      6.17e-02    9.0e-04
  10800      2.13e+00      1.20e-02      7.10e-02    9.0e-04
  10900      2.15e+00      3.84e-02      7.15e-02    9.0e-04
  11000      2.16e+00      3.88e-02      7.19e-02    9.0e-04
  11100      1.75e+00      2.87e-02      5.84e-02    9.0e-04
  11200      1.30e+00      3.51e-02      4.34e-02    9.0e-04
  11300      1.88e+00      1.95e-02      6.26e-02    9.0e-04
  11400      1.47e+00      8.75e-02      4.90e-02    9.0e-04
  11500      1.70e+00      1.66e-02      5.68e-02    9.0e-04
  11600      2.19e+00      4.39e-02      7.28e-02    9.0e-04
  11700      1.83e+00      2.20e-02      6.11e-02    9.0e-04
  11800      1.66e+00      1.28e-02      5.52e-02    9.0e-04
  11900      2.08e+00      2.54e-02      6.94e-02    9.0e-04
  12000      1.71e+00      4.16e-02      5.69e-02    9.0e-04
  12100      2.01e+00      1.85e-02      6.69e-02    9.0e-04
  12200      1.74e+00      3.36e-02      5.78e-02    9.0e-04
  12300      1.93e+00      7.23e-02      6.43e-02    9.0e-04
  12400      1.70e+00      5.90e-02      5.67e-02    9.0e-04
  12500      2.03e+00      2.72e-02      6.76e-02    9.0e-04
  12600      1.56e+00      5.74e-02      5.19e-02    9.0e-04
  12700      1.45e+00      1.15e-01      4.81e-02    9.0e-04
  12800      1.69e+00      3.24e-02      5.62e-02    9.0e-04
  12900      1.67e+00      2.28e-02      5.56e-02    9.0e-04
  13000      2.40e+00      3.29e-02      7.98e-02    9.0e-04
  13100      1.84e+00      1.13e-02      6.13e-02    9.0e-04
  13200      1.64e+00      1.46e-02      5.46e-02    9.0e-04
  13300      1.34e+00      2.06e-02      4.46e-02    9.0e-04
  13400      1.83e+00      1.11e-02      6.11e-02    9.0e-04
  13500      1.30e+00      1.64e-02      4.32e-02    9.0e-04
  13600      1.75e+00      2.46e-02      5.82e-02    9.0e-04
  13700      1.86e+00      3.82e-02      6.21e-02    9.0e-04
  13800      1.54e+00      4.72e-02      5.12e-02    9.0e-04
  13900      2.10e+00      2.77e-02      6.99e-02    9.0e-04
  14000      1.49e+00      4.96e-02      4.97e-02    9.0e-04
  14100      1.46e+00      1.48e-02      4.87e-02    9.0e-04
  14200      1.58e+00      2.62e-02      5.25e-02    9.0e-04
  14300      1.55e+00      4.17e-02      5.16e-02    9.0e-04
  14400      1.42e+00      4.54e-02      4.74e-02    9.0e-04
  14500      2.16e+00      3.41e-02      7.18e-02    9.0e-04
  14600      2.12e+00      3.81e-02      7.06e-02    9.0e-04
  14700      1.97e+00      4.14e-02      6.58e-02    9.0e-04
  14800      1.36e+00      1.92e-02      4.52e-02    9.0e-04
  14900      1.79e+00      5.82e-02      5.97e-02    9.0e-04
  15000      1.68e+00      2.34e-02      5.75e-02    8.6e-04
